name,area,carrier,type,parameter,year,value
CZ electricity final use flow 2020,CZ,electricity final use,inflow,flow,2020,63.1
CZ electricity final use flow 2021,CZ,electricity final use,inflow,flow,2021,63.1
CZ electricity final use flow 2022,CZ,electricity final use,inflow,flow,2022,63.1
CZ electricity final use flow 2023,CZ,electricity final use,inflow,flow,2023,63.1
CZ electricity final use flow 2025,CZ,electricity final use,inflow,flow,2025,69.5
CZ electricity final use flow 2030,CZ,electricity final use,inflow,flow,2030,77.9
CZ electricity final use flow 2035,CZ,electricity final use,inflow,flow,2035,85.7
CZ electricity final use flow 2040,CZ,electricity final use,inflow,flow,2040,92.3
CZ electricity final use flow 2045,CZ,electricity final use,inflow,flow,2045,96.7
CZ electricity final use flow 2050,CZ,electricity final use,inflow,flow,2050,101.2
CZ hydrogen final use min_flow 2035,CZ,hydrogen final use,inflow,min_flow,2035,3.7
CZ hydrogen final use min_flow 2040,CZ,hydrogen final use,inflow,min_flow,2040,6.7
CZ hydrogen final use min_flow 2045,CZ,hydrogen final use,inflow,min_flow,2045,9.5
CZ hydrogen final use min_flow 2050,CZ,hydrogen final use,inflow,min_flow,2050,7.5
DE electricity final use flow 2020,DE,electricity final use,inflow,flow,2020,528.1
DE electricity final use flow 2021,DE,electricity final use,inflow,flow,2021,528.1
DE electricity final use flow 2022,DE,electricity final use,inflow,flow,2022,528.1
DE electricity final use flow 2023,DE,electricity final use,inflow,flow,2023,528.1
DE electricity final use flow 2025,DE,electricity final use,inflow,flow,2025,578.2
DE electricity final use flow 2030,DE,electricity final use,inflow,flow,2030,648.3
DE electricity final use flow 2035,DE,electricity final use,inflow,flow,2035,722.8
DE electricity final use flow 2040,DE,electricity final use,inflow,flow,2040,783.2
DE electricity final use flow 2045,DE,electricity final use,inflow,flow,2045,814.9
DE electricity final use flow 2050,DE,electricity final use,inflow,flow,2050,816.2
DE hydrogen final use min_flow 2030,DE,hydrogen final use,inflow,min_flow,2030,15.2
DE hydrogen final use min_flow 2035,DE,hydrogen final use,inflow,min_flow,2035,39.5
DE hydrogen final use min_flow 2040,DE,hydrogen final use,inflow,min_flow,2040,47.4
DE hydrogen final use min_flow 2045,DE,hydrogen final use,inflow,min_flow,2045,51.3
DE hydrogen final use min_flow 2050,DE,hydrogen final use,inflow,min_flow,2050,60.7
LT electricity final use flow 2020,LT,electricity final use,inflow,flow,2020,11.5
LT electricity final use flow 2021,LT,electricity final use,inflow,flow,2021,11.5
LT electricity final use flow 2022,LT,electricity final use,inflow,flow,2022,11.5
LT electricity final use flow 2023,LT,electricity final use,inflow,flow,2023,11.5
LT electricity final use flow 2025,LT,electricity final use,inflow,flow,2025,13.1
LT electricity final use flow 2030,LT,electricity final use,inflow,flow,2030,15.3
LT electricity final use flow 2035,LT,electricity final use,inflow,flow,2035,17.6
LT electricity final use flow 2040,LT,electricity final use,inflow,flow,2040,19.5
LT electricity final use flow 2045,LT,electricity final use,inflow,flow,2045,21.4
LT electricity final use flow 2050,LT,electricity final use,inflow,flow,2050,22.6
LT hydrogen final use min_flow 2035,LT,hydrogen final use,inflow,min_flow,2035,0.8
LT hydrogen final use min_flow 2040,LT,hydrogen final use,inflow,min_flow,2040,1.1
LT hydrogen final use min_flow 2045,LT,hydrogen final use,inflow,min_flow,2045,1.6
LT hydrogen final use min_flow 2050,LT,hydrogen final use,inflow,min_flow,2050,0.8
SE electricity final use flow 2020,SE,electricity final use,inflow,flow,2020,136.2
SE electricity final use flow 2021,SE,electricity final use,inflow,flow,2021,136.2
SE electricity final use flow 2022,SE,electricity final use,inflow,flow,2022,136.2
SE electricity final use flow 2023,SE,electricity final use,inflow,flow,2023,136.2
SE electricity final use flow 2025,SE,electricity final use,inflow,flow,2025,143.9
SE electricity final use flow 2030,SE,electricity final use,inflow,flow,2030,154.0
SE electricity final use flow 2035,SE,electricity final use,inflow,flow,2035,162.3
SE electricity final use flow 2040,SE,electricity final use,inflow,flow,2040,167.3
SE electricity final use flow 2045,SE,electricity final use,inflow,flow,2045,168.6
SE electricity final use flow 2050,SE,electricity final use,inflow,flow,2050,166.9
SE hydrogen final use min_flow 2025,SE,hydrogen final use,inflow,min_flow,2025,0.1
SE hydrogen final use min_flow 2030,SE,hydrogen final use,inflow,min_flow,2030,2.7
SE hydrogen final use min_flow 2035,SE,hydrogen final use,inflow,min_flow,2035,5.5
SE hydrogen final use min_flow 2040,SE,hydrogen final use,inflow,min_flow,2040,7.2
SE hydrogen final use min_flow 2045,SE,hydrogen final use,inflow,min_flow,2045,11.3
SE hydrogen final use min_flow 2050,SE,hydrogen final use,inflow,min_flow,2050,13.4
SK electricity final use flow 2020,SK,electricity final use,inflow,flow,2020,26.9
