area,technology,qualifier,year,parameter,value
PL,biogas CHP,industrial,2020,p_set_pu,0.49
PL,biogas CHP,industrial,2025,p_set_pu,0.49
PL,biogas CHP,industrial,2030,p_set_pu,0.49
PL,biogas CHP,industrial,2035,p_set_pu,0.49
PL,biogas CHP,industrial,2040,p_set_pu,0.49
PL,biogas CHP,industrial,2045,p_set_pu,0.49
PL,biogas CHP,industrial,2050,p_set_pu,0.49
PL,biogas CHP,public,2020,p_max_pu,0.95
PL,biogas CHP,public,2025,p_max_pu,0.95
PL,biogas CHP,public,2030,p_max_pu,0.95
PL,biogas CHP,public,2035,p_max_pu,0.95
PL,biogas CHP,public,2040,p_max_pu,0.95
PL,biogas CHP,public,2045,p_max_pu,0.95
PL,biogas CHP,public,2050,p_max_pu,0.95
PL,biogas production,industrial,2020,p_set_pu,0.49
PL,biogas production,industrial,2025,p_set_pu,0.49
PL,biogas production,industrial,2030,p_set_pu,0.49
PL,biogas production,industrial,2035,p_set_pu,0.49
PL,biogas production,industrial,2040,p_set_pu,0.49
PL,biogas production,industrial,2045,p_set_pu,0.49
PL,biogas production,industrial,2050,p_set_pu,0.49
PL,biogas production,public,2020,p_max_pu,0.95
PL,biogas production,public,2025,p_max_pu,0.95
PL,biogas production,public,2030,p_max_pu,0.95
PL,biogas production,public,2035,p_max_pu,0.95
PL,biogas production,public,2040,p_max_pu,0.95
PL,biogas production,public,2045,p_max_pu,0.95
PL,biogas production,public,2050,p_max_pu,0.95
PL,biogas production,to upgrading bus,2020,p_max_pu,0.95
PL,biogas production,to upgrading bus,2025,p_max_pu,0.95
PL,biogas production,to upgrading bus,2030,p_max_pu,0.95
PL,biogas production,to upgrading bus,2035,p_max_pu,0.95
PL,biogas production,to upgrading bus,2040,p_max_pu,0.95
PL,biogas production,to upgrading bus,2045,p_max_pu,0.95
PL,biogas production,to upgrading bus,2050,p_max_pu,0.95
PL,biogas upgrading,from upgrading bus,2020,p_max_pu,0.95
PL,biogas upgrading,from upgrading bus,2025,p_max_pu,0.95
PL,biogas upgrading,from upgrading bus,2030,p_max_pu,0.95
PL,biogas upgrading,from upgrading bus,2035,p_max_pu,0.95
PL,biogas upgrading,from upgrading bus,2040,p_max_pu,0.95
PL,biogas upgrading,from upgrading bus,2045,p_max_pu,0.95
PL,biogas upgrading,from upgrading bus,2050,p_max_pu,0.95
PL,biomass agriculture CHP,public,2020,p_max_pu,0.9
PL,biomass agriculture CHP,public,2025,p_max_pu,0.9
PL,biomass agriculture CHP,public,2030,p_max_pu,0.9
PL,biomass agriculture CHP,public,2035,p_max_pu,0.9
PL,biomass agriculture CHP,public,2040,p_max_pu,0.9
PL,biomass agriculture CHP,public,2045,p_max_pu,0.9
PL,biomass agriculture CHP,public,2050,p_max_pu,0.9
PL,biomass agriculture CHP CC,public,2020,p_max_pu,0.9
PL,biomass agriculture CHP CC,public,2025,p_max_pu,0.9
PL,biomass agriculture CHP CC,public,2030,p_max_pu,0.9
PL,biomass agriculture CHP CC,public,2035,p_max_pu,0.9
PL,biomass agriculture CHP CC,public,2040,p_max_pu,0.9
PL,biomass agriculture CHP CC,public,2045,p_max_pu,0.9
PL,biomass agriculture CHP CC,public,2050,p_max_pu,0.9
PL,biomass wood CHP,industrial,2020,p_set_pu,0.91
PL,biomass wood CHP,industrial,2025,p_set_pu,0.91
PL,biomass wood CHP,industrial,2030,p_set_pu,0.91
PL,biomass wood CHP,industrial,2035,p_set_pu,0.91
PL,biomass wood CHP,industrial,2040,p_set_pu,0.91
PL,biomass wood CHP,industrial,2045,p_set_pu,0.91
PL,biomass wood CHP,industrial,2050,p_set_pu,0.91
PL,biomass wood CHP,public,2020,p_max_pu,0.9
PL,biomass wood CHP,public,2025,p_max_pu,0.9
PL,biomass wood CHP,public,2030,p_max_pu,0.9
PL,biomass wood CHP,public,2035,p_max_pu,0.9
PL,biomass wood CHP,public,2040,p_max_pu,0.9
PL,biomass wood CHP,public,2045,p_max_pu,0.9
PL,biomass wood CHP,public,2050,p_max_pu,0.9
PL,biomass wood power,public,2020,p_max_pu,0.9
PL,biomass wood power,public,2025,p_max_pu,0.9
PL,biomass wood power,public,2030,p_max_pu,0.9
PL,biomass wood power,public,2035,p_max_pu,0.9
PL,biomass wood power,public,2040,p_max_pu,0.9
PL,biomass wood power,public,2045,p_max_pu,0.9
PL,biomass wood power,public,2050,p_max_pu,0.9
PL,biomass wood power,public,2020,p_min_pu,0.25
PL,biomass wood power,public,2025,p_min_pu,0.22
PL,hard coal CHP,industrial,2020,p_set_pu,0.23
PL,hard coal CHP,industrial,2025,p_set_pu,0.23
PL,hard coal CHP,industrial,2030,p_set_pu,0.23
PL,hard coal CHP,industrial,2035,p_set_pu,0.23
PL,hard coal CHP,industrial,2040,p_set_pu,0.23
PL,hard coal CHP,public,2020,p_max_pu,0.9
PL,hard coal CHP,public,2025,p_max_pu,0.9
PL,hard coal CHP,public,2030,p_max_pu,0.9
PL,hard coal CHP,public,2035,p_max_pu,0.9
PL,hard coal CHP,public,2040,p_max_pu,0.9
PL,hard coal power old,public,2020,p_max_pu,0.85
PL,hard coal power old,public,2025,p_max_pu,0.85
PL,hard coal power old,public,2030,p_max_pu,0.85
PL,hard coal power old,public,2035,p_max_pu,0.85
PL,hard coal power old,public,2040,p_max_pu,0.85
PL,hard coal power old,public,2020,p_min_pu,0.25
PL,hard coal power old,public,2025,p_min_pu,0.22
PL,hard coal power SC,public,2020,p_max_pu,0.9
