name,area,area2,technology,qualifier,build_year,retire_year,cumulative,nom
CZ DSR reduction 2025,CZ,,DSR reduction,,2025,2025,TRUE,450.0
CZ DSR reduction 2030,CZ,,DSR reduction,,2030,2030,TRUE,680.0
CZ DSR reduction 2035,CZ,,DSR reduction,,2035,2035,TRUE,930.0
CZ DSR reduction 2040,CZ,,DSR reduction,,2040,2040,TRUE,1090.0
CZ DSR reduction 2045,CZ,,DSR reduction,,2045,2045,TRUE,1230.0
CZ DSR reduction 2050,CZ,,DSR reduction,,2050,2050,TRUE,1360.0
CZ battery large charger 2025,CZ,,battery large charger,,2025,2025,TRUE,240.0
CZ battery large charger 2030,CZ,,battery large charger,,2030,2030,TRUE,410.0
CZ battery large charger 2035,CZ,,battery large charger,,2035,2035,TRUE,570.0
CZ battery large charger 2040,CZ,,battery large charger,,2040,2040,TRUE,570.0
CZ battery large charger 2045,CZ,,battery large charger,,2045,2045,TRUE,330.0
CZ battery large charger 2050,CZ,,battery large charger,,2050,2050,TRUE,160.0
CZ battery large power 2025,CZ,,battery large power,,2025,2025,TRUE,270.0
CZ battery large power 2030,CZ,,battery large power,,2030,2030,TRUE,450.0
CZ battery large power 2035,CZ,,battery large power,,2035,2035,TRUE,630.0
CZ battery large power 2040,CZ,,battery large power,,2040,2040,TRUE,630.0
CZ battery large power 2045,CZ,,battery large power,,2045,2045,TRUE,360.0
CZ battery large power 2050,CZ,,battery large power,,2050,2050,TRUE,180.0
CZ battery large storage 2025,CZ,,battery large storage,,2025,2025,TRUE,540.0
CZ battery large storage 2030,CZ,,battery large storage,,2030,2030,TRUE,910.0
CZ battery large storage 2035,CZ,,battery large storage,,2035,2035,TRUE,1260.0
CZ battery large storage 2040,CZ,,battery large storage,,2040,2040,TRUE,1260.0
CZ battery large storage 2045,CZ,,battery large storage,,2045,2045,TRUE,720.0
CZ battery large storage 2050,CZ,,battery large storage,,2050,2050,TRUE,360.0
CZ biomass wood power 2020,CZ,,biomass wood power,,2020,2020,TRUE,840.0
CZ biomass wood power 2021,CZ,,biomass wood power,,2021,2021,TRUE,840.0
CZ biomass wood power 2022,CZ,,biomass wood power,,2022,2022,TRUE,840.0
CZ biomass wood power 2023,CZ,,biomass wood power,,2023,2023,TRUE,840.0
CZ biomass wood power 2025,CZ,,biomass wood power,,2025,2025,TRUE,1340.0
CZ biomass wood power 2030,CZ,,biomass wood power,,2030,2030,TRUE,1540.0
CZ biomass wood power 2035,CZ,,biomass wood power,,2035,2035,TRUE,1820.0
CZ biomass wood power 2040,CZ,,biomass wood power,,2040,2040,TRUE,2080.0
CZ biomass wood power 2045,CZ,,biomass wood power,,2045,2045,TRUE,1870.0
CZ biomass wood power 2050,CZ,,biomass wood power,,2050,2050,TRUE,1710.0
CZ biomass wood supply 2020,CZ,,biomass wood supply,,2020,2020,TRUE,inf
CZ biomass wood supply 2021,CZ,,biomass wood supply,,2021,2021,TRUE,inf
CZ biomass wood supply 2022,CZ,,biomass wood supply,,2022,2022,TRUE,inf
CZ biomass wood supply 2023,CZ,,biomass wood supply,,2023,2023,TRUE,inf
CZ biomass wood supply 2025,CZ,,biomass wood supply,,2025,2025,TRUE,inf
CZ biomass wood supply 2030,CZ,,biomass wood supply,,2030,2030,TRUE,inf
CZ biomass wood supply 2035,CZ,,biomass wood supply,,2035,2035,TRUE,inf
CZ biomass wood supply 2040,CZ,,biomass wood supply,,2040,2040,TRUE,inf
CZ biomass wood supply 2045,CZ,,biomass wood supply,,2045,2045,TRUE,inf
CZ biomass wood supply 2050,CZ,,biomass wood supply,,2050,2050,TRUE,inf
CZ electricity final use 2020,CZ,,electricity final use,,2020,2020,TRUE,inf
CZ electricity final use 2021,CZ,,electricity final use,,2021,2021,TRUE,inf
CZ electricity final use 2022,CZ,,electricity final use,,2022,2022,TRUE,inf
CZ electricity final use 2023,CZ,,electricity final use,,2023,2023,TRUE,inf
CZ electricity final use 2025,CZ,,electricity final use,,2025,2025,TRUE,inf
CZ electricity final use 2030,CZ,,electricity final use,,2030,2030,TRUE,inf
CZ electricity final use 2035,CZ,,electricity final use,,2035,2035,TRUE,inf
CZ electricity final use 2040,CZ,,electricity final use,,2040,2040,TRUE,inf
CZ electricity final use 2045,CZ,,electricity final use,,2045,2045,TRUE,inf
CZ electricity final use 2050,CZ,,electricity final use,,2050,2050,TRUE,inf
CZ electricity grid 2020,CZ,,electricity grid,,2020,2020,TRUE,inf
CZ electricity grid 2021,CZ,,electricity grid,,2021,2021,TRUE,inf
CZ electricity grid 2022,CZ,,electricity grid,,2022,2022,TRUE,inf
CZ electricity grid 2023,CZ,,electricity grid,,2023,2023,TRUE,inf
CZ electricity grid 2025,CZ,,electricity grid,,2025,2025,TRUE,inf
CZ electricity grid 2030,CZ,,electricity grid,,2030,2030,TRUE,inf
CZ electricity grid 2035,CZ,,electricity grid,,2035,2035,TRUE,inf
CZ electricity grid 2040,CZ,,electricity grid,,2040,2040,TRUE,inf
