technology,carrier,aggregation,parent,bus_carrier,input_carrier,output_carrier,output2_carrier,component,color,order
electricity final use,electricity final use,electricity final use,,,electricity out,,,Generator,#b6b6b7,1
space heating final use,space heating final use,heat final use,,,space heating,,,Generator,#b6b6b7,2
water heating final use,water heating final use,heat final use,,,water heating,,,Generator,#b6b6b7,3
other heating final use,other heating final use,heat final use,,,other heating,,,Generator,#b6b6b7,4
light vehicle mobility final use,light vehicle mobility final use,light vehicle mobility final use,,,light vehicle mobility,,,Generator,#b6b6b7,5
hydrogen final use,hydrogen final use,hydrogen final use,,,hydrogen,,,Generator,#b6b6b7,6
hard coal final use,hard coal final use,hard coal final use,,,hard coal,,,Generator,#b6b6b7,7
natural gas final use,natural gas final use,natural gas final use,,,natural gas,,,Generator,#b6b6b7,8
other fuel final use,other fuel final use,other fuel final use,,,other fuel,,,Generator,#b6b6b7,9
biomass wood final use,biomass wood final use,biomass wood final use,,,biomass wood,,,Generator,#b6b6b7,10
process emissions final use,process emissions final use,process emissions final use,,,process emissions,,,Generator,#b6b6b7,11
lulucf final use,lulucf final use,lulucf final use,,,lulucf,,,Generator,#b6b6b7,12
hard coal supply,hard coal supply,hard coal supply,,,,hard coal,,Generator,#b5c6cf,110
hard coal power old,hard coal power,hard coal power,,,hard coal,electricity in,,Link,#b5c6cf,111
hard coal power SC,hard coal power,hard coal power,,,hard coal,electricity in,,Link,#b5c6cf,112
hard coal CHP,hard coal CHP,hard coal CHP,,,hard coal,electricity in,heat centralised in,Link,#b5c6cf,113
hard coal heat,hard coal heat,hard coal heat,,,hard coal,heat centralised in,,Link,#b5c6cf,114
lignite supply,lignite supply,lignite supply,,,,lignite,,Generator,#72a0b7,120
lignite power old,lignite power,lignite power,,,lignite,electricity in,,Link,#72a0b7,121
lignite power SC,lignite power,lignite power,,,lignite,electricity in,,Link,#72a0b7,122
natural gas supply,natural gas supply,natural gas supply,,,,natural gas,,Generator,#4b7689,130
natural gas power CCGT,natural gas power,natural gas power,,,natural gas,electricity in,,Link,#4b7689,131
natural gas power peaker,natural gas power peaker,natural gas power,,,natural gas,electricity in,,Link,#4b7689,132
natural gas CHP old,natural gas CHP,natural gas CHP,,,natural gas,electricity in,heat centralised in,Link,#4b7689,133
natural gas CHP CCGT,natural gas CHP,natural gas CHP,,,natural gas,electricity in,heat centralised in,Link,#4b7689,134
natural gas CHP CCGT old,natural gas CHP,natural gas CHP,,,natural gas,electricity in,heat centralised in,Link,#4b7690,135
natural gas heat,natural gas heat,natural gas heat,,,natural gas,heat centralised in,,Link,#4b7689,136
other fuel supply,other fuel supply,other fuel supply,,,,other fuel,,Generator,#263b46,140
other CHP,other CHP,other CHP,,,other fuel,electricity in,heat centralised in,Link,#263b46,141
other heat,other heat,other heat,,,other fuel,heat centralised in,,Link,#263b46,142
nuclear power large,nuclear power,nuclear power,,,,electricity in,,Generator,#d6c0bd,151
biomass wood supply,biomass wood supply,biomass supply,,,,biomass wood,,Generator,#ab9d99,160
biomass wood power,biomass wood power,biomass power,,,biomass wood,electricity in,,Link,#ab9d99,161
biomass wood CHP,biomass wood CHP,biomass CHP,,,biomass wood,electricity in,heat centralised in,Link,#ab9d99,162
biomass wood heat,biomass wood heat,biomass heat,,,biomass wood,heat centralised in,,Link,#ab9d99,163
