technology,carrier,aggregation,parent,bus_carrier,input_carrier,output_carrier,output2_carrier,component,color,order
electricity final use,electricity final use,electricity final use,,,electricity out,,,Generator,#b6b6b7,1
hard coal supply,hard coal supply,hard coal supply,,,,hard coal,,Generator,#b5c6cf,110
hard coal power old,hard coal power,hard coal power,,,hard coal,electricity in,,Link,#b5c6cf,111
hard coal power SC,hard coal power,hard coal power,,,hard coal,electricity in,,Link,#b5c6cf,112
hard coal CHP,hard coal CHP,hard coal CHP,,,hard coal,electricity in,,Link,#b5c6cf,113
lignite supply,lignite supply,lignite supply,,,,lignite,,Generator,#72a0b7,120
lignite power old,lignite power,lignite power,,,lignite,electricity in,,Link,#72a0b7,121
lignite power SC,lignite power,lignite power,,,lignite,electricity in,,Link,#72a0b7,122
natural gas supply,natural gas supply,natural gas supply,,,,natural gas,,Generator,#4b7689,130
natural gas power CCGT,natural gas power,natural gas power,,,natural gas,electricity in,,Link,#4b7689,131
natural gas power peaker,natural gas power peaker,natural gas power,,,natural gas,electricity in,,Link,#4b7689,132
natural gas CHP old,natural gas CHP,natural gas CHP,,,natural gas,electricity in,,Link,#4b7689,133
natural gas CHP CCGT,natural gas CHP,natural gas CHP,,,natural gas,electricity in,,Link,#4b7689,134
natural gas CHP CCGT old,natural gas CHP,natural gas CHP,,,natural gas,electricity in,,Link,#4b7690,135
other fuel supply,other fuel supply,other fuel supply,,,,other fuel,,Generator,#263b46,140
other CHP,other CHP,other CHP,,,other fuel,electricity in,,Link,#263b46,141
nuclear power large,nuclear power,nuclear power,,,,electricity in,,Generator,#d6c0bd,151
biomass wood supply,biomass wood supply,biomass supply,,,,biomass wood,,Generator,#ab9d99,160
biomass wood power,biomass wood power,biomass power,,,biomass wood,electricity in,,Link,#ab9d99,161
biomass wood CHP,biomass wood CHP,biomass CHP,,,biomass wood,electricity in,,Link,#ab9d99,162
biomass agriculture supply,biomass agriculture supply,biomass supply,,,,biomass agriculture,,Generator,#ab9d99,170
biomass agriculture CHP,biomass agriculture CHP,biomass CHP,,,biomass agriculture,electricity in,,Link,#ab9d99,171
biogas substrate supply,biogas substrate supply,biogas substrate supply,,,,biogas substrate,,Generator,#816d66,180
biogas production,biogas production,biogas production,,,biogas substrate,biogas,,Link,#816d66,181
biogas CHP,biogas CHP,biogas CHP,,,biogas,electricity in,,Link,#816d66,183
hydro ROR,hydro ROR,hydro ROR,,,,electricity in,,Generator,#2979ff,201
wind onshore old,wind onshore,wind onshore,,,,electricity in,,Generator,#b9f6ca,211
wind onshore,wind onshore,wind onshore,,,,electricity in,,Generator,#b9f6ca,212
wind offshore,wind offshore,wind offshore,,,,electricity in,,Generator,#69f0ae,213
solar PV ground,solar PV ground,solar PV ground,,,,electricity in,,Generator,#f3b3fd,221
solar PV roof,solar PV roof,solar PV roof,,,,electricity in,,Generator,#e040fb,222
hydro PSH storage,hydro PSH storage,hydro PSH,hydro PSH power,hydro PSH electricity,,,,Store,#82b1ff,230
hydro PSH power,hydro PSH power,hydro PSH,,,hydro PSH electricity,electricity in,,Link,#82b1ff,231
hydro PSH pump,hydro PSH pump,hydro PSH,hydro PSH power,,electricity out,hydro PSH electricity,,Link,#82b1ff,232
battery large storage,battery large storage,battery large,,battery large electricity,,,,Store,#458aff,240
battery large power,battery large power,battery large,,,battery large electricity,electricity in,,Link,#458aff,241
battery large charger,battery large charger,battery large,battery large power,,electricity out,battery large electricity,,Link,#458aff,242
DSR reduction,DSR reduction,DSR,,,,electricity in,,Generator,#1b1c1e,291
electricity grid,electricity grid,electricity grid,,,electricity in,electricity out,,Link,#b6b6b7,1201
