technology,parameter,technology_year,value
battery large charger,efficiency,2015,0.9
battery large charger,efficiency,2020,0.9
battery large charger,efficiency,2025,0.9
battery large charger,efficiency,2030,0.9
battery large charger,efficiency,2035,0.9
battery large charger,efficiency,2040,0.9
battery large charger,efficiency,2045,0.9
battery large charger,efficiency,2050,0.9
battery large charger,lifetime,2015,20.0
battery large charger,lifetime,2020,20.0
battery large charger,lifetime,2025,20.0
battery large charger,lifetime,2030,20.0
battery large charger,lifetime,2035,20.0
battery large charger,lifetime,2040,20.0
battery large charger,lifetime,2045,20.0
battery large charger,lifetime,2050,20.0
battery large charger,parent_ratio,2015,0.9
battery large charger,parent_ratio,2020,0.9
battery large charger,parent_ratio,2025,0.9
battery large charger,parent_ratio,2030,0.9
battery large charger,parent_ratio,2035,0.9
battery large charger,parent_ratio,2040,0.9
battery large charger,parent_ratio,2045,0.9
battery large charger,parent_ratio,2050,0.9
battery large power,efficiency,2015,1.0
battery large power,efficiency,2020,1.0
battery large power,efficiency,2025,1.0
battery large power,efficiency,2030,1.0
battery large power,efficiency,2035,1.0
battery large power,efficiency,2040,1.0
battery large power,efficiency,2045,1.0
battery large power,efficiency,2050,1.0
battery large power,fixed_cost,2015,3400.0
battery large power,fixed_cost,2020,3400.0
battery large power,fixed_cost,2025,3400.0
battery large power,fixed_cost,2030,3400.0
battery large power,fixed_cost,2035,3400.0
battery large power,fixed_cost,2040,3400.0
battery large power,fixed_cost,2045,3400.0
battery large power,fixed_cost,2050,3400.0
battery large power,investment_cost,2015,1800000.0
battery large power,investment_cost,2020,1700000.0
battery large power,investment_cost,2025,1400000.0
battery large power,investment_cost,2030,1000000.0
battery large power,investment_cost,2035,820000.0
battery large power,investment_cost,2040,630000.0
battery large power,investment_cost,2045,510000.0
battery large power,investment_cost,2050,380000.0
battery large power,lifetime,2015,20.0
battery large power,lifetime,2020,20.0
battery large power,lifetime,2025,20.0
battery large power,lifetime,2030,20.0
battery large power,lifetime,2035,20.0
battery large power,lifetime,2040,20.0
battery large power,lifetime,2045,20.0
battery large power,lifetime,2050,20.0
battery large power,p_max_pu_annual,2015,0.99
battery large power,p_max_pu_annual,2020,0.99
battery large power,p_max_pu_annual,2025,0.99
battery large power,p_max_pu_annual,2030,0.99
battery large power,p_max_pu_annual,2035,0.99
battery large power,p_max_pu_annual,2040,0.99
battery large power,p_max_pu_annual,2045,0.99
battery large power,p_max_pu_annual,2050,0.99
battery large power,variable_cost,2015,13.0
battery large power,variable_cost,2020,13.0
battery large power,variable_cost,2025,13.0
battery large power,variable_cost,2030,13.0
battery large power,variable_cost,2035,13.0
battery large power,variable_cost,2040,13.0
battery large power,variable_cost,2045,13.0
battery large power,variable_cost,2050,13.0
battery large storage,investment_cost,2015,2600000.0
battery large storage,investment_cost,2020,1500000.0
battery large storage,investment_cost,2025,1200000.0
battery large storage,investment_cost,2030,900000.0
battery large storage,investment_cost,2035,750000.0
battery large storage,investment_cost,2040,590000.0
battery large storage,investment_cost,2045,530000.0
battery large storage,investment_cost,2050,470000.0
battery large storage,lifetime,2015,20.0
battery large storage,lifetime,2020,20.0
battery large storage,lifetime,2025,20.0
battery large storage,lifetime,2030,20.0
battery large storage,lifetime,2035,20.0
battery large storage,lifetime,2040,20.0
battery large storage,lifetime,2045,20.0
battery large storage,lifetime,2050,20.0
BEV,efficiency,2015,0.85
BEV,efficiency,2020,0.85
BEV,efficiency,2025,0.85
BEV,efficiency,2030,0.85
BEV,efficiency,2035,0.85
BEV,efficiency,2040,0.85
BEV,efficiency,2045,0.85
BEV,efficiency,2050,0.85
BEV,fixed_cost,2015,100000.0
BEV,fixed_cost,2020,100000.0
BEV,fixed_cost,2025,100000.0
BEV,fixed_cost,2030,100000.0
BEV,fixed_cost,2035,100000.0
BEV,fixed_cost,2040,100000.0
BEV,fixed_cost,2045,100000.0
BEV,fixed_cost,2050,100000.0
BEV,lifetime,2015,20.0
BEV,lifetime,2020,20.0
BEV,lifetime,2025,20.0
