hour,PL dolnośląskie,PL kujawsko-pomorskie,PL lubelskie,PL lubuskie,PL łódzkie,PL małopolskie,PL mazowieckie,PL opolskie,PL podkarpackie,PL podlaskie,PL pomorskie,PL śląskie,PL świętokrzyskie,PL warmińsko-mazurskie,PL wielkopolskie,PL zachodniopomorskie,PL
2012-01-01 00:00:00,3.053,3.219,3.211,3.258,3.081,2.922,3.09,3.043,3.225,3.01,3.183,3.095,3.177,3.033,3.078,3.335,3.105
2012-01-01 01:00:00,3.094,3.191,3.217,3.273,3.069,2.899,3.077,3.135,3.216,3.037,3.16,3.09,3.179,3.009,3.056,3.351,3.101
2012-01-01 02:00:00,3.13,3.168,3.22,3.315,3.08,2.873,3.093,3.142,3.217,3.04,3.159,3.03,3.19,2.996,3.057,3.33,3.097
2012-01-01 03:00:00,3.194,3.202,3.205,3.368,3.08,2.863,3.106,3.061,3.204,3.043,3.169,3.101,3.191,2.983,3.079,3.372,3.117
2012-01-01 04:00:00,3.267,3.197,3.204,3.404,3.101,2.84,3.123,3.193,3.196,3.005,3.194,3.072,3.162,2.99,3.108,3.415,3.129
2012-01-01 05:00:00,3.324,3.176,3.197,3.461,3.115,2.828,3.118,3.243,3.206,2.947,3.203,3.192,3.159,2.995,3.149,3.456,3.155
2012-01-01 06:00:00,3.356,3.201,3.18,3.505,3.1,2.85,3.105,3.332,3.223,2.9,3.196,3.175,3.132,3.001,3.167,3.44,3.157
2012-01-01 07:00:00,3.375,3.142,3.172,3.549,3.096,2.862,3.115,3.385,3.211,2.865,3.226,3.236,3.113,2.996,3.184,3.493,3.171
2012-01-01 08:00:00,3.416,3.183,3.181,3.61,3.149,2.926,3.156,3.448,3.247,2.943,3.28,3.304,3.149,3.043,3.23,3.548,3.22
2012-01-01 09:00:00,3.53,3.279,3.206,3.686,3.234,3.08,3.222,3.539,3.277,2.973,3.341,3.384,3.252,3.125,3.299,3.622,3.301
2012-01-01 10:00:00,3.606,3.357,3.256,3.813,3.335,3.16,3.256,3.607,3.311,3.012,3.402,3.461,3.291,3.155,3.358,3.7,3.364
2012-01-01 11:00:00,3.719,3.382,3.286,3.941,3.422,3.244,3.307,3.66,3.356,3.052,3.446,3.542,3.382,3.178,3.414,3.763,3.429
2012-01-01 12:00:00,3.768,3.416,3.332,4.061,3.468,3.287,3.329,3.793,3.357,3.078,3.479,3.625,3.388,3.15,3.474,3.817,3.474
2012-01-01 13:00:00,3.84,3.43,3.322,4.225,3.51,3.335,3.352,3.791,3.335,3.074,3.502,3.645,3.406,3.175,3.54,3.937,3.509
2012-01-01 14:00:00,3.909,3.413,3.309,4.328,3.537,3.355,3.347,3.809,3.319,3.041,3.502,3.637,3.413,3.201,3.61,4.043,3.527
2012-01-01 15:00:00,3.93,3.439,3.277,4.418,3.56,3.388,3.352,3.787,3.308,3.028,3.536,3.645,3.405,3.201,3.676,4.143,3.547
2012-01-01 16:00:00,4.029,3.502,3.261,4.501,3.586,3.357,3.383,3.78,3.302,3.035,3.567,3.701,3.398,3.226,3.751,4.271,3.585
2012-01-01 17:00:00,4.084,3.596,3.272,4.609,3.64,3.381,3.423,3.789,3.317,3.049,3.617,3.742,3.402,3.249,3.842,4.394,3.633
2012-01-01 18:00:00,4.172,3.657,3.267,4.714,3.663,3.397,3.459,3.806,3.33,3.079,3.683,3.797,3.424,3.278,3.943,4.512,3.682
2012-01-01 19:00:00,4.246,3.74,3.288,4.777,3.729,3.441,3.489,3.841,3.347,3.107,3.757,3.87,3.441,3.313,4.046,4.611,3.739
2012-01-01 20:00:00,4.297,3.85,3.307,4.831,3.783,3.533,3.505,3.834,3.359,3.137,3.847,3.948,3.458,3.352,4.171,4.656,3.796
2012-01-01 21:00:00,4.347,3.952,3.291,4.87,3.849,3.555,3.544,3.885,3.374,3.16,3.92,4.018,3.47,3.388,4.261,4.775,3.848
2012-01-01 22:00:00,4.288,4.004,3.297,4.913,3.924,3.579,3.586,3.907,3.376,3.184,3.983,3.953,3.462,3.41,4.346,4.851,3.868
2012-01-01 23:00:00,4.353,4.077,3.323,4.935,3.998,3.618,3.625,3.885,3.391,3.201,4.05,4.02,3.487,3.44,4.39,4.896,3.914
