hour,CZ,DE,LT,SE,SK
2013-01-01 00:00:00,0.881,0.696,0.925,0.953,0.9
2013-01-01 01:00:00,0.776,0.716,0.899,0.869,0.791
2013-01-01 02:00:00,0.78,0.698,0.896,0.859,0.789
2013-01-01 03:00:00,0.768,0.695,0.896,0.84,0.788
2013-01-01 04:00:00,0.759,0.695,0.9,0.824,0.794
2013-01-01 05:00:00,0.745,0.703,0.914,0.813,0.796
2013-01-01 06:00:00,0.772,0.711,0.941,0.838,0.819
2013-01-01 07:00:00,0.803,0.783,0.963,0.895,0.847
2013-01-01 08:00:00,0.828,0.853,0.99,0.932,0.916
2013-01-01 09:00:00,0.88,0.889,1.006,0.968,0.953
2013-01-01 10:00:00,0.906,0.915,1.013,0.993,0.979
2013-01-01 11:00:00,0.911,0.937,1.013,1.005,0.964
2013-01-01 12:00:00,0.909,0.938,1.01,1.008,0.926
2013-01-01 13:00:00,0.916,0.92,1.006,1.009,0.91
2013-01-01 14:00:00,0.912,0.899,1.004,1.016,0.887
2013-01-01 15:00:00,0.923,0.895,1.025,1.035,0.905
2013-01-01 16:00:00,0.943,0.92,1.034,1.063,0.941
2013-01-01 17:00:00,0.945,0.963,1.041,1.08,0.96
2013-01-01 18:00:00,0.918,0.97,1.049,1.063,0.981
2013-01-01 19:00:00,0.899,0.961,1.029,1.045,0.97
2013-01-01 20:00:00,0.889,0.914,0.999,1.014,0.925
2013-01-01 21:00:00,0.859,0.874,0.959,0.981,0.904
2013-01-01 22:00:00,0.845,0.848,0.934,0.942,0.866
2013-01-01 23:00:00,0.828,0.793,0.911,0.928,0.852
2013-01-02 00:00:00,0.79,0.73,0.898,0.901,0.832
2013-01-02 01:00:00,0.848,0.787,0.912,0.979,0.878
2013-01-02 02:00:00,0.848,0.783,0.906,0.97,0.878
2013-01-02 03:00:00,0.838,0.779,0.908,0.953,0.878
2013-01-02 04:00:00,0.84,0.778,0.916,0.944,0.884
2013-01-02 05:00:00,0.863,0.807,0.989,0.958,0.887
2013-01-02 06:00:00,0.916,0.902,1.059,1.01,0.933
2013-01-02 07:00:00,0.962,0.996,1.107,1.078,0.972
2013-01-02 08:00:00,1.0,1.055,1.134,1.113,1.053
2013-01-02 09:00:00,1.058,1.076,1.142,1.145,1.092
2013-01-02 10:00:00,1.09,1.095,1.143,1.164,1.121
2013-01-02 11:00:00,1.097,1.12,1.135,1.171,1.109
2013-01-02 12:00:00,1.092,1.125,1.139,1.17,1.07
2013-01-02 13:00:00,1.092,1.113,1.133,1.168,1.049
2013-01-02 14:00:00,1.089,1.091,1.126,1.171,1.022
2013-01-02 15:00:00,1.098,1.085,1.134,1.181,1.037
2013-01-02 16:00:00,1.114,1.107,1.13,1.203,1.072
2013-01-02 17:00:00,1.111,1.146,1.135,1.213,1.082
2013-01-02 18:00:00,1.087,1.154,1.136,1.196,1.098
2013-01-02 19:00:00,1.063,1.145,1.118,1.177,1.086
2013-01-02 20:00:00,1.04,1.068,1.082,1.145,1.039
2013-01-02 21:00:00,0.993,1.006,1.021,1.107,1.005
2013-01-02 22:00:00,0.961,0.964,0.974,1.06,0.954
2013-01-02 23:00:00,0.926,0.895,0.939,1.04,0.931
2013-01-03 00:00:00,0.885,0.823,0.919,1.009,0.899
2013-01-03 01:00:00,1.004,0.797,0.913,0.955,0.912
2013-01-03 02:00:00,0.994,0.793,0.908,0.946,0.916
2013-01-03 03:00:00,0.982,0.79,0.91,0.929,0.916
2013-01-03 04:00:00,0.997,0.789,0.916,0.926,0.921
2013-01-03 05:00:00,1.055,0.806,0.989,0.958,0.92
2013-01-03 06:00:00,1.171,0.909,1.061,1.026,0.984
2013-01-03 07:00:00,1.228,1.014,1.109,1.096,1.023
2013-01-03 08:00:00,1.252,1.074,1.137,1.129,1.099
2013-01-03 09:00:00,1.281,1.092,1.146,1.159,1.13
2013-01-03 10:00:00,1.283,1.108,1.147,1.175,1.154
2013-01-03 11:00:00,1.276,1.134,1.139,1.18,1.148
2013-01-03 12:00:00,1.281,1.137,1.142,1.177,1.12
2013-01-03 13:00:00,1.277,1.128,1.136,1.174,1.095
2013-01-03 14:00:00,1.269,1.107,1.13,1.175,1.07
2013-01-03 15:00:00,1.27,1.104,1.138,1.181,1.08
2013-01-03 16:00:00,1.274,1.13,1.135,1.2,1.108
2013-01-03 17:00:00,1.283,1.162,1.139,1.203,1.102
2013-01-03 18:00:00,1.265,1.171,1.136,1.18,1.104
2013-01-03 19:00:00,1.25,1.15,1.116,1.157,1.086
2013-01-03 20:00:00,1.206,1.067,1.081,1.121,1.044
2013-01-03 21:00:00,1.137,1.007,1.022,1.079,1.003
2013-01-03 22:00:00,1.078,0.967,0.977,1.028,0.948
2013-01-03 23:00:00,1.029,0.897,0.941,1.006,0.921
2013-01-04 00:00:00,0.979,0.823,0.92,0.974,0.883
2013-01-04 01:00:00,0.973,0.821,0.904,0.979,0.867
2013-01-04 02:00:00,0.962,0.817,0.899,0.969,0.872
2013-01-04 03:00:00,0.95,0.814,0.9,0.952,0.872
2013-01-04 04:00:00,0.964,0.813,0.907,0.942,0.877
2013-01-04 05:00:00,1.021,0.829,0.978,0.946,0.879
2013-01-04 06:00:00,1.139,0.936,1.048,0.986,0.94
2013-01-04 07:00:00,1.198,1.044,1.097,1.048,0.977
2013-01-04 08:00:00,1.224,1.108,1.125,1.083,1.05
2013-01-04 09:00:00,1.254,1.127,1.133,1.116,1.079
2013-01-04 10:00:00,1.255,1.146,1.134,1.138,1.103
2013-01-04 11:00:00,1.248,1.172,1.127,1.149,1.096
2013-01-04 12:00:00,1.252,1.176,1.131,1.151,1.068
2013-01-04 13:00:00,1.248,1.165,1.124,1.153,1.045
2013-01-04 14:00:00,1.239,1.145,1.117,1.16,1.02
2013-01-04 15:00:00,1.239,1.142,1.122,1.176,1.032
2013-01-04 16:00:00,1.242,1.167,1.118,1.204,1.061
2013-01-04 17:00:00,1.25,1.197,1.123,1.217,1.057
2013-01-04 18:00:00,1.234,1.206,1.123,1.197,1.059
2013-01-04 19:00:00,1.221,1.187,1.107,1.176,1.041
2013-01-04 20:00:00,1.177,1.106,1.073,1.141,0.996
2013-01-04 21:00:00,1.109,1.047,1.015,1.103,0.956
2013-01-04 22:00:00,1.049,1.006,0.968,1.058,0.904
2013-01-04 23:00:00,1.0,0.933,0.932,1.039,0.878
2013-01-05 00:00:00,0.951,0.858,0.912,1.008,0.842
2013-01-05 01:00:00,0.967,0.8,0.924,1.019,0.867
2013-01-05 02:00:00,0.956,0.796,0.919,1.01,0.872
2013-01-05 03:00:00,0.945,0.793,0.92,0.994,0.872
2013-01-05 04:00:00,0.962,0.792,0.927,0.986,0.877
2013-01-05 05:00:00,1.023,0.81,0.999,0.999,0.877
2013-01-05 06:00:00,1.144,0.915,1.07,1.05,0.94
2013-01-05 07:00:00,1.201,1.022,1.119,1.116,0.978
2013-01-05 08:00:00,1.224,1.085,1.146,1.15,1.051
2013-01-05 09:00:00,1.253,1.106,1.155,1.181,1.081
2013-01-05 10:00:00,1.253,1.125,1.156,1.199,1.105
2013-01-05 11:00:00,1.247,1.144,1.148,1.206,1.098
