hour,PL,PL dolnośląskie,PL kujawsko-pomorskie,PL lubelskie,PL lubuskie,PL łódzkie,PL małopolskie,PL mazowieckie,PL opolskie,PL podkarpackie,PL podlaskie,PL pomorskie,PL śląskie,PL świętokrzyskie,PL warmińsko-mazurskie,PL wielkopolskie,PL zachodniopomorskie,CZ,DE,LT,SE,SK
2013-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-01 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-01 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-01 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-01 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-01 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-01 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-01 08:00:00,0.033,0.05,0.062,0.141,0.006,0.006,0.111,0.015,0.006,0.18,0.004,0.018,0.028,0.082,0.039,0.038,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-01 09:00:00,0.232,0.196,0.092,0.37,0.129,0.32,0.369,0.323,0.269,0.405,0.286,0.132,0.367,0.37,0.098,0.218,0.019,0.115,0.014,0.018,0.0,0.081
2013-01-01 10:00:00,0.343,0.264,0.266,0.469,0.285,0.448,0.485,0.447,0.394,0.498,0.344,0.178,0.474,0.477,0.22,0.321,0.075,0.212,0.045,0.041,0.015,0.166
2013-01-01 11:00:00,0.379,0.248,0.339,0.511,0.296,0.461,0.527,0.479,0.436,0.544,0.408,0.202,0.53,0.526,0.277,0.34,0.118,0.258,0.072,0.051,0.068,0.259
2013-01-01 12:00:00,0.365,0.279,0.336,0.492,0.334,0.397,0.525,0.465,0.413,0.535,0.402,0.228,0.531,0.525,0.265,0.289,0.142,0.267,0.082,0.046,0.104,0.322
