hour,PL,PL pomorskie,PL zachodniopomorskie,DE,LT,SE
2015-01-01 00:00:00,0.936,0.936,0.936,0.935,0.799,0.66
2015-01-01 01:00:00,0.933,0.933,0.933,0.933,0.833,0.649
2015-01-01 02:00:00,0.944,0.944,0.944,0.938,0.891,0.649
2015-01-01 03:00:00,0.944,0.944,0.944,0.941,0.939,0.655
2015-01-01 04:00:00,0.942,0.942,0.942,0.946,0.944,0.655
2015-01-01 05:00:00,0.948,0.948,0.948,0.946,0.935,0.658
2015-01-01 06:00:00,0.95,0.95,0.95,0.948,0.946,0.688
2015-01-01 07:00:00,0.95,0.95,0.95,0.947,0.95,0.673
2015-01-01 08:00:00,0.95,0.95,0.95,0.945,0.95,0.702
2015-01-01 09:00:00,0.95,0.95,0.95,0.949,0.95,0.734
2015-01-01 10:00:00,0.95,0.95,0.95,0.949,0.95,0.755
2015-01-01 11:00:00,0.95,0.95,0.95,0.949,0.95,0.766
2015-01-01 12:00:00,0.95,0.95,0.95,0.949,0.95,0.811
2015-01-01 13:00:00,0.95,0.95,0.95,0.949,0.95,0.844
2015-01-01 14:00:00,0.95,0.95,0.95,0.949,0.95,0.872
2015-01-01 15:00:00,0.95,0.95,0.95,0.949,0.95,0.891
2015-01-01 16:00:00,0.95,0.95,0.95,0.949,0.95,0.9
2015-01-01 17:00:00,0.95,0.95,0.95,0.948,0.95,0.885
2015-01-01 18:00:00,0.95,0.95,0.95,0.947,0.95,0.904
2015-01-01 19:00:00,0.95,0.95,0.95,0.946,0.95,0.924
2015-01-01 20:00:00,0.95,0.95,0.95,0.945,0.95,0.907
2015-01-01 21:00:00,0.95,0.95,0.95,0.938,0.95,0.864
2015-01-01 22:00:00,0.95,0.95,0.95,0.931,0.95,0.827
2015-01-01 23:00:00,0.95,0.95,0.95,0.928,0.95,0.88
2015-01-02 00:00:00,0.95,0.95,0.95,0.905,0.95,0.926
2015-01-02 01:00:00,0.95,0.95,0.95,0.879,0.95,0.933
2015-01-02 02:00:00,0.95,0.95,0.95,0.874,0.95,0.942
2015-01-02 03:00:00,0.95,0.95,0.95,0.878,0.95,0.948
2015-01-02 04:00:00,0.95,0.95,0.95,0.871,0.95,0.949
2015-01-02 05:00:00,0.95,0.95,0.95,0.905,0.95,0.949
2015-01-02 06:00:00,0.948,0.948,0.948,0.923,0.95,0.947
2015-01-02 07:00:00,0.938,0.938,0.938,0.905,0.949,0.944
2015-01-02 08:00:00,0.92,0.92,0.92,0.904,0.947,0.938
2015-01-02 09:00:00,0.894,0.894,0.894,0.938,0.935,0.921
2015-01-02 10:00:00,0.872,0.872,0.872,0.949,0.921,0.89
2015-01-02 11:00:00,0.822,0.822,0.822,0.925,0.903,0.868
2015-01-02 12:00:00,0.768,0.768,0.768,0.933,0.845,0.875
2015-01-02 13:00:00,0.787,0.787,0.787,0.943,0.801,0.898
2015-01-02 14:00:00,0.809,0.809,0.809,0.948,0.776,0.895
2015-01-02 15:00:00,0.827,0.827,0.827,0.946,0.845,0.922
2015-01-02 16:00:00,0.871,0.871,0.871,0.937,0.837,0.926
2015-01-02 17:00:00,0.872,0.872,0.872,0.937,0.797,0.926
2015-01-02 18:00:00,0.88,0.88,0.88,0.947,0.858,0.936
2015-01-02 19:00:00,0.879,0.879,0.879,0.948,0.886,0.936
2015-01-02 20:00:00,0.874,0.874,0.874,0.949,0.922,0.936
2015-01-02 21:00:00,0.902,0.902,0.902,0.938,0.928,0.947
2015-01-02 22:00:00,0.929,0.929,0.929,0.947,0.931,0.949
2015-01-02 23:00:00,0.945,0.945,0.945,0.946,0.943,0.949
2015-01-03 00:00:00,0.923,0.923,0.923,0.941,0.946,0.934
2015-01-03 01:00:00,0.864,0.864,0.864,0.936,0.942,0.914
2015-01-03 02:00:00,0.883,0.883,0.883,0.949,0.909,0.937
2015-01-03 03:00:00,0.893,0.893,0.893,0.95,0.906,0.932
2015-01-03 04:00:00,0.893,0.893,0.893,0.947,0.903,0.929
2015-01-03 05:00:00,0.907,0.907,0.907,0.938,0.925,0.938
2015-01-03 06:00:00,0.919,0.919,0.919,0.947,0.94,0.942
2015-01-03 07:00:00,0.924,0.924,0.924,0.95,0.94,0.946
2015-01-03 08:00:00,0.94,0.94,0.94,0.95,0.934,0.949
2015-01-03 09:00:00,0.943,0.943,0.943,0.95,0.936,0.95
2015-01-03 10:00:00,0.947,0.947,0.947,0.95,0.942,0.949
2015-01-03 11:00:00,0.95,0.95,0.95,0.95,0.95,0.943
2015-01-03 12:00:00,0.95,0.95,0.95,0.949,0.95,0.924
