hour,PL,PL dolnośląskie,PL kujawsko-pomorskie,PL lubelskie,PL lubuskie,PL łódzkie,PL małopolskie,PL mazowieckie,PL opolskie,PL podkarpackie,PL podlaskie,PL pomorskie,PL śląskie,PL świętokrzyskie,PL warmińsko-mazurskie,PL wielkopolskie,PL zachodniopomorskie,CZ,DE,LT,SE,SK
2013-01-01 00:00:00,0.703,0.707,0.696,0.584,0.65,0.613,0.601,0.604,0.889,0.5,0.651,0.784,0.601,0.576,0.687,0.644,0.799,0.698,0.753,0.804,0.427,0.077
2013-01-01 01:00:00,0.692,0.69,0.68,0.567,0.635,0.591,0.625,0.587,0.907,0.515,0.626,0.787,0.625,0.573,0.678,0.63,0.79,0.599,0.742,0.868,0.48,0.548
2013-01-01 02:00:00,0.692,0.689,0.676,0.552,0.626,0.608,0.661,0.578,0.92,0.526,0.618,0.791,0.661,0.58,0.699,0.619,0.786,0.612,0.729,0.854,0.484,0.556
2013-01-01 03:00:00,0.69,0.7,0.67,0.525,0.626,0.632,0.696,0.552,0.93,0.533,0.64,0.786,0.696,0.583,0.709,0.615,0.779,0.632,0.711,0.854,0.483,0.571
2013-01-01 04:00:00,0.696,0.72,0.677,0.544,0.628,0.673,0.737,0.57,0.945,0.534,0.635,0.781,0.737,0.618,0.714,0.626,0.767,0.638,0.709,0.843,0.476,0.579
2013-01-01 05:00:00,0.699,0.728,0.687,0.569,0.621,0.71,0.769,0.593,0.954,0.538,0.634,0.774,0.769,0.648,0.721,0.634,0.748,0.61,0.684,0.839,0.468,0.6
2013-01-01 06:00:00,0.703,0.732,0.693,0.59,0.62,0.738,0.786,0.619,0.954,0.539,0.681,0.763,0.786,0.665,0.732,0.636,0.73,0.61,0.664,0.845,0.447,0.626
2013-01-01 07:00:00,0.703,0.736,0.693,0.602,0.621,0.757,0.791,0.641,0.952,0.539,0.696,0.749,0.791,0.668,0.749,0.638,0.712,0.618,0.637,0.865,0.421,0.63
2013-01-01 08:00:00,0.703,0.735,0.693,0.596,0.63,0.767,0.784,0.65,0.944,0.528,0.72,0.736,0.784,0.661,0.759,0.641,0.705,0.639,0.619,0.867,0.389,0.632
2013-01-01 09:00:00,0.692,0.707,0.685,0.561,0.625,0.754,0.761,0.638,0.932,0.51,0.721,0.726,0.761,0.627,0.752,0.634,0.694,0.649,0.595,0.864,0.359,0.6
2013-01-01 10:00:00,0.685,0.681,0.689,0.516,0.617,0.729,0.716,0.623,0.913,0.473,0.727,0.719,0.716,0.58,0.758,0.63,0.693,0.623,0.582,0.857,0.325,0.531
2013-01-01 11:00:00,0.686,0.673,0.701,0.489,0.615,0.713,0.684,0.623,0.897,0.454,0.737,0.722,0.684,0.555,0.772,0.634,0.696,0.509,0.533,0.835,0.275,0.453
2013-01-01 12:00:00,0.693,0.681,0.715,0.489,0.607,0.712,0.673,0.631,0.876,0.449,0.754,0.726,0.673,0.548,0.79,0.646,0.696,0.497,0.518,0.808,0.246,0.45
2013-01-01 13:00:00,0.695,0.696,0.726,0.499,0.61,0.709,0.654,0.637,0.876,0.447,0.766,0.722,0.654,0.55,0.801,0.655,0.689,0.501,0.49,0.793,0.229,0.403
2013-01-01 14:00:00,0.694,0.712,0.733,0.51,0.598,0.707,0.64,0.643,0.844,0.451,0.783,0.713,0.64,0.558,0.811,0.66,0.672,0.546,0.481,0.794,0.215,0.356
2013-01-01 15:00:00,0.698,0.75,0.741,0.532,0.599,0.714,0.634,0.653,0.823,0.469,0.788,0.712,0.634,0.568,0.816,0.671,0.666,0.62,0.462,0.788,0.203,0.324
2013-01-01 16:00:00,0.692,0.766,0.731,0.574,0.582,0.71,0.635,0.653,0.813,0.498,0.776,0.711,0.635,0.589,0.801,0.665,0.649,0.636,0.434,0.787,0.202,0.354
2013-01-01 17:00:00,0.681,0.765,0.722,0.601,0.567,0.695,0.628,0.644,0.794,0.519,0.707,0.712,0.628,0.593,0.78,0.657,0.631,0.645,0.414,0.784,0.196,0.323
2013-01-01 18:00:00,0.663,0.744,0.707,0.617,0.538,0.673,0.613,0.629,0.767,0.536,0.705,0.707,0.613,0.586,0.761,0.635,0.596,0.67,0.408,0.786,0.191,0.311
2013-01-01 19:00:00,0.644,0.732,0.691,0.627,0.525,0.652,0.589,0.611,0.742,0.556,0.676,0.699,0.589,0.575,0.741,0.62,0.561,0.663,0.417,0.771,0.184,0.28
2013-01-01 20:00:00,0.618,0.703,0.667,0.626,0.495,0.629,0.564,0.589,0.726,0.567,0.644,0.669,0.564,0.554,0.713,0.597,0.528,0.645,0.427,0.76,0.179,0.227
2013-01-01 21:00:00,0.583,0.668,0.642,0.615,0.478,0.611,0.55,0.565,0.707,0.577,0.615,0.632,0.55,0.554,0.671,0.575,0.462,0.621,0.43,0.773,0.181,0.201
2013-01-01 22:00:00,0.547,0.666,0.606,0.597,0.46,0.596,0.552,0.575,0.683,0.573,0.59,0.573,0.552,0.546,0.641,0.539,0.401,0.586,0.439,0.78,0.183,0.18
2013-01-01 23:00:00,0.521,0.654,0.597,0.591,0.434,0.607,0.551,0.565,0.661,0.573,0.566,0.518,0.551,0.552,0.608,0.52,0.352,0.561,0.461,0.745,0.187,0.142
2013-01-02 00:00:00,0.488,0.619,0.554,0.584,0.398,0.599,0.554,0.558,0.621,0.57,0.551,0.447,0.554,0.564,0.568,0.494,0.32,0.496,0.455,0.74,0.187,0.12
2013-01-02 01:00:00,0.458,0.575,0.508,0.571,0.373,0.586,0.541,0.541,0.57,0.558,0.546,0.387,0.541,0.571,0.53,0.459,0.309,0.465,0.459,0.746,0.186,0.11
2013-01-02 02:00:00,0.435,0.53,0.465,0.55,0.352,0.55,0.515,0.52,0.514,0.533,0.516,0.351,0.515,0.572,0.497,0.426,0.324,0.447,0.471,0.736,0.187,0.091
2013-01-02 03:00:00,0.426,0.496,0.446,0.561,0.346,0.517,0.48,0.503,0.463,0.492,0.502,0.345,0.48,0.563,0.48,0.403,0.35,0.391,0.474,0.73,0.185,0.077
2013-01-02 04:00:00,0.426,0.457,0.431,0.57,0.34,0.499,0.459,0.499,0.511,0.47,0.483,0.348,0.459,0.571,0.461,0.386,0.388,0.365,0.487,0.692,0.189,0.061
2013-01-02 05:00:00,0.412,0.423,0.397,0.58,0.335,0.482,0.427,0.487,0.478,0.452,0.466,0.339,0.427,0.566,0.424,0.357,0.4,0.335,0.483,0.664,0.194,0.052
