hour,PL,CZ,DE,LT,SE,SK
2012-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-01 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-01 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-01 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-01 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-01 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-01 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-01 08:00:00,0.031,0.0,0.0,0.0,0.0,0.002
2012-01-01 09:00:00,0.18,0.001,0.001,0.08,0.0,0.047
2012-01-01 10:00:00,0.253,0.016,0.012,0.165,0.0,0.066
2012-01-01 11:00:00,0.258,0.026,0.022,0.187,0.001,0.062
2012-01-01 12:00:00,0.224,0.026,0.028,0.149,0.001,0.054
2012-01-01 13:00:00,0.163,0.021,0.027,0.107,0.0,0.051
2012-01-01 14:00:00,0.081,0.011,0.019,0.049,0.0,0.032
2012-01-01 15:00:00,0.009,0.001,0.007,0.0,0.0,0.005
2012-01-01 16:00:00,0.0,0.0,0.001,0.0,0.0,0.0
2012-01-01 17:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-01 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-01 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-01 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-01 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-01 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-01 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-02 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-02 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-02 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-02 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-02 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-02 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-02 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-02 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-02 08:00:00,0.019,0.0,0.0,0.0,0.0,0.0
2012-01-02 09:00:00,0.048,0.044,0.003,0.0,0.0,0.103
2012-01-02 10:00:00,0.092,0.087,0.018,0.0,0.005,0.194
2012-01-02 11:00:00,0.118,0.118,0.039,0.0,0.017,0.261
2012-01-02 12:00:00,0.112,0.129,0.055,0.0,0.03,0.271
2012-01-02 13:00:00,0.086,0.108,0.054,0.0,0.029,0.252
2012-01-02 14:00:00,0.048,0.075,0.04,0.0,0.014,0.198
2012-01-02 15:00:00,0.008,0.033,0.02,0.0,0.0,0.095
2012-01-02 16:00:00,0.0,0.0,0.001,0.0,0.0,0.0
2012-01-02 17:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-02 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-02 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-02 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-02 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-02 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-02 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-03 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-03 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-03 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-03 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-03 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-03 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-03 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-03 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-03 08:00:00,0.021,0.0,0.0,0.0,0.0,0.0
2012-01-03 09:00:00,0.223,0.058,0.018,0.019,0.0,0.092
2012-01-03 10:00:00,0.326,0.16,0.078,0.056,0.02,0.223
2012-01-03 11:00:00,0.365,0.275,0.133,0.088,0.032,0.349
2012-01-03 12:00:00,0.391,0.297,0.157,0.109,0.033,0.4
2012-01-03 13:00:00,0.367,0.271,0.139,0.085,0.02,0.339
2012-01-03 14:00:00,0.265,0.247,0.096,0.043,0.004,0.219
2012-01-03 15:00:00,0.037,0.151,0.047,0.0,0.0,0.104
2012-01-03 16:00:00,0.0,0.0,0.008,0.0,0.0,0.0
2012-01-03 17:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-03 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-03 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-03 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-03 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-03 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-03 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-04 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-04 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-04 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-04 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-04 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0
