hour,PL,CZ,DE,LT,SE,SK
2013-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-01 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-01 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-01 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-01 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-01 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-01 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-01 08:00:00,0.054,0.0,0.0,0.0,0.0,0.0
2013-01-01 09:00:00,0.276,0.115,0.014,0.018,0.0,0.081
2013-01-01 10:00:00,0.382,0.212,0.045,0.041,0.015,0.166
2013-01-01 11:00:00,0.417,0.258,0.072,0.051,0.068,0.259
2013-01-01 12:00:00,0.408,0.267,0.082,0.046,0.104,0.322
2013-01-01 13:00:00,0.359,0.244,0.076,0.033,0.109,0.329
2013-01-01 14:00:00,0.251,0.17,0.056,0.01,0.052,0.271
2013-01-01 15:00:00,0.052,0.079,0.028,0.0,0.0,0.144
2013-01-01 16:00:00,0.0,0.0,0.002,0.0,0.0,0.0
2013-01-01 17:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-01 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-01 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-01 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-01 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-01 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-01 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-02 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-02 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-02 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-02 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-02 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-02 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-02 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-02 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-02 08:00:00,0.032,0.0,0.0,0.0,0.0,0.002
2013-01-02 09:00:00,0.12,0.048,0.013,0.004,0.0,0.072
2013-01-02 10:00:00,0.161,0.124,0.064,0.027,0.031,0.152
2013-01-02 11:00:00,0.163,0.195,0.114,0.051,0.13,0.232
2013-01-02 12:00:00,0.175,0.237,0.144,0.062,0.186,0.277
2013-01-02 13:00:00,0.167,0.231,0.138,0.054,0.19,0.259
2013-01-02 14:00:00,0.114,0.164,0.101,0.023,0.109,0.179
2013-01-02 15:00:00,0.02,0.079,0.052,0.0,0.007,0.076
2013-01-02 16:00:00,0.0,0.0,0.007,0.0,0.0,0.0
2013-01-02 17:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-02 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-02 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-02 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-02 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-02 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-02 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-03 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-03 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-03 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-03 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-03 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-03 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-03 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-03 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-03 08:00:00,0.039,0.0,0.0,0.0,0.0,0.006
2013-01-03 09:00:00,0.094,0.022,0.004,0.009,0.0,0.151
2013-01-03 10:00:00,0.095,0.046,0.015,0.026,0.007,0.242
2013-01-03 11:00:00,0.067,0.05,0.023,0.03,0.032,0.269
2013-01-03 12:00:00,0.063,0.046,0.027,0.024,0.051,0.211
2013-01-03 13:00:00,0.059,0.034,0.023,0.012,0.059,0.121
2013-01-03 14:00:00,0.041,0.016,0.013,0.0,0.043,0.058
2013-01-03 15:00:00,0.024,0.002,0.004,0.0,0.002,0.019
2013-01-03 16:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-03 17:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-03 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-03 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-03 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-03 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-03 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-03 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-04 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-04 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-04 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-04 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-04 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-04 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0
