hour,PL,DE,LT,SE
2012-01-01 00:00:00,0.22,0.602,0.078,0.157
2012-01-01 01:00:00,0.235,0.742,0.094,0.169
2012-01-01 02:00:00,0.22,0.868,0.094,0.18
2012-01-01 03:00:00,0.229,0.897,0.092,0.21
2012-01-01 04:00:00,0.239,0.907,0.076,0.252
2012-01-01 05:00:00,0.258,0.916,0.109,0.304
2012-01-01 06:00:00,0.301,0.917,0.185,0.378
2012-01-01 07:00:00,0.383,0.916,0.289,0.482
2012-01-01 08:00:00,0.475,0.92,0.4,0.612
2012-01-01 09:00:00,0.623,0.934,0.473,0.728
2012-01-01 10:00:00,0.79,0.938,0.555,0.805
2012-01-01 11:00:00,0.898,0.93,0.712,0.855
2012-01-01 12:00:00,0.93,0.933,0.836,0.877
2012-01-01 13:00:00,0.924,0.932,0.896,0.87
2012-01-01 14:00:00,0.91,0.926,0.923,0.858
2012-01-01 15:00:00,0.887,0.921,0.937,0.858
2012-01-01 16:00:00,0.901,0.906,0.943,0.845
2012-01-01 17:00:00,0.903,0.915,0.948,0.814
2012-01-01 18:00:00,0.873,0.923,0.949,0.76
2012-01-01 19:00:00,0.89,0.888,0.947,0.768
2012-01-01 20:00:00,0.875,0.842,0.942,0.78
2012-01-01 21:00:00,0.802,0.814,0.899,0.683
2012-01-01 22:00:00,0.68,0.768,0.78,0.633
2012-01-01 23:00:00,0.599,0.634,0.608,0.625
2012-01-02 00:00:00,0.489,0.665,0.478,0.568
2012-01-02 01:00:00,0.323,0.809,0.389,0.552
2012-01-02 02:00:00,0.507,0.872,0.286,0.683
2012-01-02 03:00:00,0.785,0.805,0.259,0.798
2012-01-02 04:00:00,0.859,0.812,0.438,0.836
2012-01-02 05:00:00,0.915,0.793,0.728,0.832
2012-01-02 06:00:00,0.95,0.81,0.82,0.839
2012-01-02 07:00:00,0.95,0.814,0.947,0.859
2012-01-02 08:00:00,0.95,0.815,0.95,0.858
2012-01-02 09:00:00,0.95,0.825,0.95,0.865
2012-01-02 10:00:00,0.95,0.803,0.95,0.865
2012-01-02 11:00:00,0.95,0.758,0.95,0.863
2012-01-02 12:00:00,0.95,0.741,0.95,0.847
2012-01-02 13:00:00,0.946,0.798,0.949,0.823
2012-01-02 14:00:00,0.874,0.842,0.932,0.808
2012-01-02 15:00:00,0.705,0.873,0.795,0.733
2012-01-02 16:00:00,0.584,0.878,0.635,0.681
2012-01-02 17:00:00,0.608,0.889,0.584,0.651
2012-01-02 18:00:00,0.531,0.902,0.683,0.593
2012-01-02 19:00:00,0.383,0.912,0.63,0.555
2012-01-02 20:00:00,0.362,0.914,0.475,0.599
2012-01-02 21:00:00,0.497,0.915,0.46,0.684
2012-01-02 22:00:00,0.583,0.931,0.572,0.744
2012-01-02 23:00:00,0.629,0.935,0.591,0.759
2012-01-03 00:00:00,0.629,0.941,0.629,0.714
2012-01-03 01:00:00,0.546,0.947,0.56,0.745
2012-01-03 02:00:00,0.694,0.946,0.404,0.82
2012-01-03 03:00:00,0.885,0.945,0.435,0.858
2012-01-03 04:00:00,0.941,0.947,0.732,0.871
2012-01-03 05:00:00,0.946,0.948,0.852,0.875
2012-01-03 06:00:00,0.945,0.949,0.902,0.897
2012-01-03 07:00:00,0.947,0.948,0.916,0.909
2012-01-03 08:00:00,0.949,0.948,0.918,0.916
2012-01-03 09:00:00,0.949,0.906,0.929,0.917
2012-01-03 10:00:00,0.949,0.688,0.94,0.925
2012-01-03 11:00:00,0.95,0.56,0.946,0.932
2012-01-03 12:00:00,0.949,0.644,0.944,0.935
2012-01-03 13:00:00,0.95,0.607,0.94,0.938
2012-01-03 14:00:00,0.949,0.614,0.944,0.932
2012-01-03 15:00:00,0.949,0.665,0.937,0.931
