hour,PL,CZ,DE,LT,SE,SK
2015-01-01 00:00:00,0.438,0.184,0.341,0.66,0.632,0.031
2015-01-01 01:00:00,0.462,0.164,0.345,0.666,0.634,0.023
2015-01-01 02:00:00,0.488,0.166,0.352,0.676,0.633,0.019
2015-01-01 03:00:00,0.512,0.176,0.357,0.712,0.637,0.018
2015-01-01 04:00:00,0.521,0.177,0.359,0.744,0.64,0.019
2015-01-01 05:00:00,0.523,0.169,0.367,0.741,0.634,0.02
2015-01-01 06:00:00,0.529,0.158,0.371,0.727,0.642,0.02
2015-01-01 07:00:00,0.541,0.152,0.396,0.728,0.642,0.016
2015-01-01 08:00:00,0.553,0.157,0.396,0.745,0.639,0.012
2015-01-01 09:00:00,0.559,0.173,0.416,0.778,0.632,0.01
2015-01-01 10:00:00,0.574,0.179,0.428,0.797,0.619,0.011
2015-01-01 11:00:00,0.597,0.181,0.41,0.761,0.621,0.01
2015-01-01 12:00:00,0.614,0.199,0.417,0.772,0.591,0.011
2015-01-01 13:00:00,0.619,0.175,0.419,0.798,0.585,0.013
2015-01-01 14:00:00,0.608,0.158,0.437,0.83,0.577,0.015
2015-01-01 15:00:00,0.589,0.172,0.483,0.823,0.578,0.016
2015-01-01 16:00:00,0.567,0.21,0.5,0.847,0.579,0.017
2015-01-01 17:00:00,0.562,0.284,0.529,0.873,0.576,0.018
2015-01-01 18:00:00,0.576,0.342,0.563,0.89,0.571,0.016
2015-01-01 19:00:00,0.604,0.385,0.599,0.888,0.585,0.019
2015-01-01 20:00:00,0.636,0.444,0.63,0.88,0.595,0.028
2015-01-01 21:00:00,0.666,0.49,0.665,0.885,0.591,0.021
2015-01-01 22:00:00,0.685,0.508,0.699,0.902,0.62,0.026
2015-01-01 23:00:00,0.704,0.525,0.721,0.911,0.639,0.024
2015-01-02 00:00:00,0.73,0.55,0.751,0.905,0.621,0.023
2015-01-02 01:00:00,0.762,0.587,0.785,0.885,0.642,0.03
2015-01-02 02:00:00,0.797,0.623,0.81,0.872,0.66,0.042
2015-01-02 03:00:00,0.828,0.659,0.826,0.891,0.645,0.07
2015-01-02 04:00:00,0.854,0.691,0.839,0.912,0.614,0.103
2015-01-02 05:00:00,0.869,0.719,0.849,0.919,0.579,0.14
2015-01-02 06:00:00,0.886,0.743,0.855,0.924,0.54,0.145
2015-01-02 07:00:00,0.898,0.766,0.859,0.929,0.521,0.141
2015-01-02 08:00:00,0.914,0.782,0.861,0.931,0.522,0.166
2015-01-02 09:00:00,0.925,0.793,0.86,0.932,0.554,0.207
2015-01-02 10:00:00,0.938,0.802,0.856,0.932,0.606,0.22
2015-01-02 11:00:00,0.94,0.805,0.841,0.933,0.651,0.172
2015-01-02 12:00:00,0.942,0.821,0.835,0.933,0.688,0.198
2015-01-02 13:00:00,0.935,0.847,0.828,0.933,0.715,0.232
2015-01-02 14:00:00,0.944,0.869,0.82,0.893,0.726,0.251
2015-01-02 15:00:00,0.942,0.878,0.809,0.863,0.728,0.28
2015-01-02 16:00:00,0.943,0.877,0.8,0.865,0.724,0.305
2015-01-02 17:00:00,0.942,0.864,0.794,0.877,0.722,0.317
2015-01-02 18:00:00,0.941,0.857,0.799,0.877,0.73,0.332
2015-01-02 19:00:00,0.942,0.85,0.797,0.877,0.741,0.378
2015-01-02 20:00:00,0.944,0.86,0.785,0.877,0.766,0.394
2015-01-02 21:00:00,0.944,0.874,0.78,0.877,0.789,0.497
2015-01-02 22:00:00,0.944,0.879,0.777,0.88,0.808,0.638
2015-01-02 23:00:00,0.943,0.868,0.77,0.933,0.815,0.613
2015-01-03 00:00:00,0.944,0.878,0.764,0.933,0.829,0.708
2015-01-03 01:00:00,0.944,0.884,0.755,0.933,0.846,0.756
2015-01-03 02:00:00,0.945,0.892,0.736,0.933,0.867,0.772
2015-01-03 03:00:00,0.945,0.891,0.71,0.933,0.882,0.785
2015-01-03 04:00:00,0.946,0.891,0.689,0.901,0.886,0.793
2015-01-03 05:00:00,0.946,0.882,0.68,0.904,0.887,0.781
2015-01-03 06:00:00,0.945,0.859,0.681,0.877,0.884,0.755
2015-01-03 07:00:00,0.945,0.835,0.69,0.909,0.88,0.659
2015-01-03 08:00:00,0.945,0.827,0.709,0.908,0.873,0.615
2015-01-03 09:00:00,0.942,0.808,0.725,0.906,0.866,0.549
2015-01-03 10:00:00,0.94,0.808,0.729,0.896,0.854,0.536
2015-01-03 11:00:00,0.938,0.715,0.676,0.933,0.841,0.352
2015-01-03 12:00:00,0.938,0.716,0.666,0.933,0.816,0.408
2015-01-03 13:00:00,0.937,0.676,0.644,0.932,0.787,0.388
2015-01-03 14:00:00,0.937,0.652,0.613,0.93,0.76,0.302
