hour,PL,CZ,DE,LT,SE,SK
2015-01-01 00:00:00,0.845,0.731,0.764,0.979,1.001,0.954
2015-01-01 01:00:00,0.8,0.778,0.725,0.916,0.919,0.84
2015-01-01 02:00:00,0.759,0.783,0.702,0.913,0.911,0.839
2015-01-01 03:00:00,0.73,0.774,0.69,0.913,0.895,0.837
2015-01-01 04:00:00,0.722,0.769,0.688,0.917,0.885,0.837
2015-01-01 05:00:00,0.715,0.762,0.692,0.929,0.891,0.834
2015-01-01 06:00:00,0.715,0.776,0.706,0.958,0.927,0.871
2015-01-01 07:00:00,0.707,0.801,0.741,0.982,0.978,0.907
2015-01-01 08:00:00,0.703,0.827,0.806,1.007,1.005,0.975
2015-01-01 09:00:00,0.731,0.881,0.839,1.024,1.032,1.011
2015-01-01 10:00:00,0.765,0.913,0.861,1.031,1.048,1.037
2015-01-01 11:00:00,0.799,0.924,0.892,1.031,1.055,1.029
2015-01-01 12:00:00,0.825,0.92,0.895,1.03,1.053,0.999
2015-01-01 13:00:00,0.849,0.926,0.88,1.026,1.052,0.979
2015-01-01 14:00:00,0.852,0.925,0.861,1.024,1.055,0.955
2015-01-01 15:00:00,0.862,0.937,0.861,1.044,1.063,0.964
2015-01-01 16:00:00,0.935,0.961,0.887,1.05,1.083,0.983
2015-01-01 17:00:00,0.958,0.956,0.951,1.056,1.095,0.987
2015-01-01 18:00:00,0.953,0.927,0.958,1.058,1.082,0.999
2015-01-01 19:00:00,0.953,0.901,0.948,1.037,1.069,0.996
2015-01-01 20:00:00,0.937,0.891,0.91,1.01,1.042,0.969
2015-01-01 21:00:00,0.899,0.861,0.871,0.977,1.011,0.943
2015-01-01 22:00:00,0.861,0.852,0.856,0.954,0.974,0.903
2015-01-01 23:00:00,0.798,0.836,0.807,0.93,0.964,0.882
2015-01-02 00:00:00,0.745,0.801,0.747,0.915,0.94,0.854
2015-01-02 01:00:00,0.72,0.889,0.794,0.925,0.951,0.901
2015-01-02 02:00:00,0.706,0.892,0.789,0.92,0.942,0.901
2015-01-02 03:00:00,0.706,0.882,0.786,0.922,0.923,0.901
2015-01-02 04:00:00,0.719,0.879,0.785,0.929,0.913,0.908
2015-01-02 05:00:00,0.759,0.882,0.805,1.002,0.924,0.912
2015-01-02 06:00:00,0.853,0.911,0.904,1.073,0.974,0.959
2015-01-02 07:00:00,0.918,0.945,1.003,1.12,1.041,0.998
2015-01-02 08:00:00,0.965,0.977,1.063,1.146,1.077,1.078
2015-01-02 09:00:00,1.019,1.032,1.082,1.155,1.11,1.117
2015-01-02 10:00:00,1.051,1.065,1.1,1.155,1.131,1.145
2015-01-02 11:00:00,1.072,1.074,1.122,1.148,1.138,1.133
2015-01-02 12:00:00,1.088,1.069,1.129,1.151,1.137,1.095
2015-01-02 13:00:00,1.113,1.072,1.119,1.145,1.136,1.073
2015-01-02 14:00:00,1.107,1.07,1.1,1.14,1.138,1.046
2015-01-02 15:00:00,1.114,1.081,1.096,1.152,1.148,1.062
2015-01-02 16:00:00,1.168,1.1,1.119,1.148,1.17,1.097
2015-01-02 17:00:00,1.165,1.097,1.15,1.153,1.18,1.107
2015-01-02 18:00:00,1.146,1.073,1.158,1.147,1.161,1.123
2015-01-02 19:00:00,1.136,1.051,1.144,1.126,1.143,1.11
2015-01-02 20:00:00,1.101,1.037,1.065,1.09,1.111,1.063
2015-01-02 21:00:00,1.038,1.002,1.005,1.031,1.075,1.027
2015-01-02 22:00:00,0.972,0.984,0.965,0.987,1.029,0.977
2015-01-02 23:00:00,0.904,0.962,0.896,0.953,1.011,0.953
2015-01-03 00:00:00,0.841,0.927,0.824,0.933,0.98,0.922
2015-01-03 01:00:00,0.807,1.02,0.798,0.918,0.998,0.903
2015-01-03 02:00:00,0.79,1.009,0.793,0.913,0.989,0.907
2015-01-03 03:00:00,0.782,0.998,0.79,0.914,0.973,0.907
2015-01-03 04:00:00,0.792,1.016,0.789,0.92,0.962,0.914
2015-01-03 05:00:00,0.801,1.08,0.803,0.99,0.967,0.916
2015-01-03 06:00:00,0.852,1.201,0.902,1.059,1.007,0.978
2015-01-03 07:00:00,0.884,1.258,1.004,1.107,1.068,1.013
2015-01-03 08:00:00,0.923,1.28,1.067,1.135,1.102,1.085
2015-01-03 09:00:00,0.985,1.304,1.089,1.144,1.134,1.114
2015-01-03 10:00:00,1.023,1.301,1.109,1.144,1.155,1.136
2015-01-03 11:00:00,1.042,1.295,1.127,1.137,1.165,1.129
2015-01-03 12:00:00,1.044,1.3,1.138,1.14,1.165,1.101
2015-01-03 13:00:00,1.056,1.296,1.128,1.133,1.166,1.078
2015-01-03 14:00:00,1.043,1.288,1.108,1.126,1.172,1.054
2015-01-03 15:00:00,1.062,1.288,1.103,1.13,1.187,1.066
2015-01-03 16:00:00,1.122,1.292,1.124,1.126,1.214,1.097
2015-01-03 17:00:00,1.116,1.304,1.153,1.131,1.229,1.095
2015-01-03 18:00:00,1.111,1.291,1.161,1.135,1.213,1.098
2015-01-03 19:00:00,1.094,1.28,1.146,1.12,1.194,1.078
2015-01-03 20:00:00,1.061,1.232,1.074,1.086,1.16,1.031
2015-01-03 21:00:00,0.996,1.162,1.019,1.026,1.121,0.992
2015-01-03 22:00:00,0.941,1.101,0.979,0.979,1.076,0.94
2015-01-03 23:00:00,0.874,1.053,0.911,0.944,1.058,0.915
2015-01-04 00:00:00,0.818,1.007,0.84,0.924,1.028,0.879
2015-01-04 01:00:00,0.779,1.02,0.808,0.93,1.031,0.909
2015-01-04 02:00:00,0.757,1.008,0.803,0.925,1.022,0.913
2015-01-04 03:00:00,0.749,0.997,0.8,0.926,1.007,0.914
2015-01-04 04:00:00,0.75,1.015,0.799,0.933,1.0,0.919
2015-01-04 05:00:00,0.758,1.079,0.829,1.004,1.011,0.921
2015-01-04 06:00:00,0.781,1.201,0.923,1.073,1.061,0.982
2015-01-04 07:00:00,0.786,1.258,1.017,1.121,1.127,1.018
2015-01-04 08:00:00,0.818,1.279,1.075,1.148,1.16,1.091
2015-01-04 09:00:00,0.87,1.301,1.097,1.157,1.19,1.12
2015-01-04 10:00:00,0.91,1.297,1.117,1.158,1.208,1.143
2015-01-04 11:00:00,0.932,1.289,1.138,1.151,1.216,1.136
2015-01-04 12:00:00,0.939,1.295,1.146,1.155,1.214,1.108
2015-01-04 13:00:00,0.955,1.291,1.134,1.148,1.214,1.085
2015-01-04 14:00:00,0.942,1.282,1.113,1.142,1.218,1.06
2015-01-04 15:00:00,0.953,1.282,1.106,1.149,1.233,1.072
2015-01-04 16:00:00,1.033,1.284,1.126,1.145,1.261,1.102
2015-01-04 17:00:00,1.047,1.296,1.165,1.15,1.279,1.098
2015-01-04 18:00:00,1.048,1.284,1.173,1.148,1.265,1.101
2015-01-04 19:00:00,1.049,1.274,1.164,1.13,1.247,1.082
2015-01-04 20:00:00,1.012,1.227,1.091,1.096,1.209,1.037
2015-01-04 21:00:00,0.973,1.158,1.03,1.039,1.166,0.997
2015-01-04 22:00:00,0.92,1.096,0.987,0.993,1.116,0.945
2015-01-04 23:00:00,0.859,1.049,0.919,0.959,1.095,0.92
2015-01-05 00:00:00,0.803,1.003,0.848,0.938,1.063,0.884
2015-01-05 01:00:00,0.772,1.024,0.798,0.959,1.065,0.919
2015-01-05 02:00:00,0.762,1.013,0.793,0.954,1.056,0.924
2015-01-05 03:00:00,0.759,1.002,0.79,0.955,1.039,0.924
2015-01-05 04:00:00,0.778,1.019,0.789,0.962,1.027,0.929
2015-01-05 05:00:00,0.816,1.081,0.818,1.031,1.03,0.93
2015-01-05 06:00:00,0.927,1.197,0.909,1.099,1.077,0.993
2015-01-05 07:00:00,1.001,1.254,1.0,1.147,1.149,1.031
2015-01-05 08:00:00,1.054,1.278,1.058,1.175,1.186,1.105
2015-01-05 09:00:00,1.099,1.306,1.08,1.184,1.216,1.135
2015-01-05 10:00:00,1.115,1.308,1.1,1.186,1.234,1.159
2015-01-05 11:00:00,1.129,1.302,1.119,1.179,1.24,1.152
2015-01-05 12:00:00,1.133,1.307,1.128,1.182,1.238,1.125
2015-01-05 13:00:00,1.149,1.302,1.115,1.176,1.235,1.1
2015-01-05 14:00:00,1.14,1.295,1.094,1.169,1.237,1.075
2015-01-05 15:00:00,1.139,1.295,1.088,1.176,1.247,1.087
2015-01-05 16:00:00,1.212,1.3,1.108,1.173,1.269,1.115
2015-01-05 17:00:00,1.216,1.308,1.146,1.177,1.286,1.111
2015-01-05 18:00:00,1.206,1.291,1.154,1.179,1.277,1.113
2015-01-05 19:00:00,1.19,1.277,1.145,1.162,1.266,1.094
2015-01-05 20:00:00,1.145,1.23,1.073,1.127,1.238,1.05
2015-01-05 21:00:00,1.078,1.161,1.013,1.068,1.204,1.01
2015-01-05 22:00:00,1.008,1.101,0.971,1.022,1.16,0.956
2015-01-05 23:00:00,0.937,1.052,0.903,0.987,1.141,0.93
2015-01-06 00:00:00,0.878,1.004,0.834,0.967,1.109,0.892
2015-01-06 01:00:00,0.836,0.917,0.905,1.021,1.045,0.876
2015-01-06 02:00:00,0.818,0.92,0.879,1.018,1.038,0.876
2015-01-06 03:00:00,0.81,0.906,0.875,1.017,1.023,0.876
2015-01-06 04:00:00,0.807,0.893,0.873,1.018,1.014,0.885
2015-01-06 05:00:00,0.805,0.883,0.877,1.049,1.016,0.892
2015-01-06 06:00:00,0.815,0.927,0.88,1.091,1.054,0.935
2015-01-06 07:00:00,0.818,0.974,0.942,1.127,1.112,0.971
2015-01-06 08:00:00,0.845,1.013,1.008,1.162,1.142,1.05
2015-01-06 09:00:00,0.892,1.077,1.053,1.182,1.169,1.088
2015-01-06 10:00:00,0.924,1.11,1.084,1.188,1.187,1.116
2015-01-06 11:00:00,0.945,1.112,1.097,1.187,1.193,1.102
2015-01-06 12:00:00,0.953,1.109,1.087,1.186,1.191,1.062
2015-01-06 13:00:00,0.972,1.113,1.06,1.18,1.19,1.044
2015-01-06 14:00:00,0.956,1.108,1.036,1.176,1.195,1.018
2015-01-06 15:00:00,0.958,1.118,1.031,1.193,1.209,1.036
2015-01-06 16:00:00,1.049,1.134,1.053,1.203,1.236,1.075
2015-01-06 17:00:00,1.075,1.138,1.09,1.207,1.256,1.089
2015-01-06 18:00:00,1.08,1.117,1.09,1.213,1.247,1.107
2015-01-06 19:00:00,1.081,1.101,1.085,1.194,1.231,1.093
2015-01-06 20:00:00,1.063,1.089,1.029,1.161,1.197,1.042
2015-01-06 21:00:00,1.012,1.052,0.991,1.112,1.156,1.006
2015-01-06 22:00:00,0.967,1.029,0.968,1.071,1.112,0.955
2015-01-06 23:00:00,0.892,1.002,0.914,1.039,1.096,0.934
2015-01-07 00:00:00,0.843,0.963,0.894,1.021,1.068,0.905
