hour,PL,CZ,DE,LT,SE,SK
2015-03-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-01 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-01 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-01 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-01 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-01 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-01 07:00:00,0.033,0.005,0.0,0.003,0.0,0.029
2015-03-01 08:00:00,0.194,0.108,0.011,0.038,0.017,0.127
2015-03-01 09:00:00,0.323,0.205,0.034,0.1,0.053,0.268
2015-03-01 10:00:00,0.403,0.274,0.06,0.163,0.08,0.388
2015-03-01 11:00:00,0.426,0.298,0.079,0.21,0.086,0.4
2015-03-01 12:00:00,0.424,0.284,0.1,0.242,0.072,0.312
2015-03-01 13:00:00,0.342,0.23,0.132,0.252,0.054,0.226
2015-03-01 14:00:00,0.251,0.147,0.144,0.247,0.044,0.159
2015-03-01 15:00:00,0.162,0.09,0.121,0.189,0.031,0.103
2015-03-01 16:00:00,0.07,0.047,0.079,0.081,0.014,0.055
2015-03-01 17:00:00,0.001,0.009,0.028,0.0,0.002,0.005
2015-03-01 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-01 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-01 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-01 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-01 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-01 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-02 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-02 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-02 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-02 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-02 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-02 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-02 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-02 07:00:00,0.031,0.002,0.0,0.0,0.0,0.015
2015-03-02 08:00:00,0.14,0.056,0.03,0.022,0.03,0.059
2015-03-02 09:00:00,0.198,0.193,0.104,0.051,0.084,0.134
2015-03-02 10:00:00,0.222,0.324,0.191,0.076,0.136,0.216
2015-03-02 11:00:00,0.216,0.383,0.267,0.101,0.179,0.26
2015-03-02 12:00:00,0.194,0.434,0.315,0.131,0.195,0.29
2015-03-02 13:00:00,0.167,0.402,0.323,0.178,0.175,0.251
2015-03-02 14:00:00,0.138,0.319,0.292,0.198,0.138,0.148
2015-03-02 15:00:00,0.121,0.238,0.229,0.139,0.1,0.075
2015-03-02 16:00:00,0.08,0.15,0.142,0.059,0.057,0.033
2015-03-02 17:00:00,0.002,0.055,0.053,0.0,0.003,0.006
2015-03-02 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-02 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-02 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-02 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-02 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-02 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-03 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-03 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-03 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-03 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-03 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-03 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-03 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-03 07:00:00,0.041,0.019,0.0,0.01,0.0,0.057
2015-03-03 08:00:00,0.137,0.206,0.062,0.062,0.037,0.227
2015-03-03 09:00:00,0.195,0.416,0.184,0.122,0.12,0.416
2015-03-03 10:00:00,0.204,0.564,0.309,0.161,0.189,0.527
2015-03-03 11:00:00,0.183,0.631,0.385,0.193,0.255,0.61
2015-03-03 12:00:00,0.19,0.656,0.407,0.201,0.317,0.677
2015-03-03 13:00:00,0.189,0.643,0.384,0.186,0.314,0.67
2015-03-03 14:00:00,0.188,0.558,0.323,0.143,0.277,0.571
2015-03-03 15:00:00,0.173,0.43,0.233,0.079,0.214,0.419
2015-03-03 16:00:00,0.116,0.263,0.139,0.029,0.128,0.234
2015-03-03 17:00:00,0.005,0.083,0.055,0.0,0.033,0.054
2015-03-03 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-03 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-03 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-03 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-03 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-03 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-04 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-04 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-04 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-04 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-04 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-04 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-04 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-04 07:00:00,0.025,0.008,0.0,0.029,0.0,0.061
2015-03-04 08:00:00,0.11,0.138,0.058,0.091,0.097,0.164
2015-03-04 09:00:00,0.182,0.31,0.163,0.145,0.242,0.233
2015-03-04 10:00:00,0.217,0.466,0.255,0.163,0.366,0.276
2015-03-04 11:00:00,0.216,0.59,0.309,0.14,0.458,0.313
2015-03-04 12:00:00,0.215,0.657,0.348,0.113,0.521,0.395
2015-03-04 13:00:00,0.181,0.637,0.348,0.086,0.522,0.481
2015-03-04 14:00:00,0.208,0.526,0.309,0.07,0.439,0.488
2015-03-04 15:00:00,0.184,0.375,0.258,0.057,0.317,0.398
2015-03-04 16:00:00,0.12,0.216,0.175,0.026,0.182,0.219
2015-03-04 17:00:00,0.006,0.07,0.072,0.0,0.045,0.054
2015-03-04 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-04 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-04 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-04 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-04 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-04 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-05 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-05 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-05 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-05 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-05 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-05 06:00:00,0.001,0.0,0.0,0.0,0.0,0.0
2015-03-05 07:00:00,0.04,0.028,0.0,0.055,0.0,0.071
2015-03-05 08:00:00,0.143,0.174,0.049,0.183,0.156,0.244
2015-03-05 09:00:00,0.206,0.298,0.139,0.268,0.341,0.441
2015-03-05 10:00:00,0.223,0.41,0.227,0.346,0.479,0.595
2015-03-05 11:00:00,0.213,0.496,0.276,0.423,0.569,0.661
2015-03-05 12:00:00,0.206,0.528,0.293,0.402,0.627,0.642
2015-03-05 13:00:00,0.136,0.534,0.298,0.344,0.609,0.583
2015-03-05 14:00:00,0.165,0.488,0.276,0.275,0.52,0.521
2015-03-05 15:00:00,0.147,0.389,0.223,0.185,0.389,0.405
2015-03-05 16:00:00,0.099,0.244,0.152,0.085,0.208,0.224
2015-03-05 17:00:00,0.004,0.08,0.067,0.0,0.049,0.056
2015-03-05 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-05 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-05 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0
