hour,PL,CZ,DE,LT,SE,SK
2012-03-09 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-09 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-09 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-09 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-09 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-09 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-09 06:00:00,0.003,0.0,0.0,0.0,0.0,0.0
2012-03-09 07:00:00,0.106,0.013,0.0,0.073,0.001,0.056
2012-03-09 08:00:00,0.276,0.059,0.031,0.236,0.032,0.162
2012-03-09 09:00:00,0.392,0.113,0.096,0.402,0.076,0.262
2012-03-09 10:00:00,0.46,0.158,0.174,0.48,0.123,0.333
2012-03-09 11:00:00,0.49,0.179,0.239,0.51,0.165,0.363
2012-03-09 12:00:00,0.483,0.19,0.291,0.541,0.177,0.365
2012-03-09 13:00:00,0.407,0.178,0.321,0.527,0.173,0.335
2012-03-09 14:00:00,0.344,0.156,0.311,0.449,0.158,0.277
2012-03-09 15:00:00,0.257,0.139,0.267,0.305,0.126,0.202
2012-03-09 16:00:00,0.141,0.098,0.187,0.138,0.082,0.111
2012-03-09 17:00:00,0.008,0.035,0.086,0.0,0.026,0.026
2012-03-09 18:00:00,0.0,0.0,0.002,0.0,0.0,0.0
2012-03-09 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-09 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-09 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-09 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-09 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-10 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-10 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-10 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-10 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-10 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-10 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-10 06:00:00,0.002,0.0,0.0,0.0,0.0,0.0
2012-03-10 07:00:00,0.046,0.034,0.002,0.091,0.002,0.068
2012-03-10 08:00:00,0.134,0.148,0.077,0.275,0.057,0.22
2012-03-10 09:00:00,0.204,0.306,0.189,0.464,0.11,0.374
2012-03-10 10:00:00,0.247,0.436,0.293,0.593,0.139,0.491
2012-03-10 11:00:00,0.272,0.498,0.37,0.612,0.162,0.509
2012-03-10 12:00:00,0.287,0.521,0.419,0.545,0.164,0.438
2012-03-10 13:00:00,0.248,0.52,0.423,0.44,0.135,0.375
2012-03-10 14:00:00,0.245,0.47,0.379,0.321,0.102,0.324
2012-03-10 15:00:00,0.207,0.361,0.302,0.183,0.067,0.243
2012-03-10 16:00:00,0.138,0.236,0.2,0.068,0.035,0.147
2012-03-10 17:00:00,0.017,0.092,0.088,0.0,0.007,0.046
2012-03-10 18:00:00,0.0,0.0,0.003,0.0,0.0,0.0
2012-03-10 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-10 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-10 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-10 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-10 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-11 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-11 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-11 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-11 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-11 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-11 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-11 06:00:00,0.004,0.0,0.0,0.0,0.0,0.0
2012-03-11 07:00:00,0.075,0.051,0.002,0.001,0.003,0.099
2012-03-11 08:00:00,0.198,0.212,0.057,0.008,0.101,0.311
2012-03-11 09:00:00,0.28,0.397,0.137,0.019,0.204,0.508
2012-03-11 10:00:00,0.324,0.543,0.207,0.033,0.307,0.653
2012-03-11 11:00:00,0.325,0.623,0.249,0.045,0.418,0.728
2012-03-11 12:00:00,0.31,0.633,0.257,0.049,0.488,0.749
2012-03-11 13:00:00,0.251,0.573,0.241,0.045,0.5,0.709
2012-03-11 14:00:00,0.205,0.476,0.214,0.039,0.448,0.61
2012-03-11 15:00:00,0.138,0.325,0.165,0.028,0.32,0.455
2012-03-11 16:00:00,0.077,0.162,0.103,0.01,0.17,0.253
2012-03-11 17:00:00,0.008,0.049,0.043,0.0,0.054,0.067
2012-03-11 18:00:00,0.0,0.0,0.001,0.0,0.0,0.0
2012-03-11 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-11 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-11 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-11 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-11 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-12 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-12 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-12 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-12 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-12 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-12 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-12 06:00:00,0.004,0.0,0.0,0.0,0.0,0.0
2012-03-12 07:00:00,0.056,0.003,0.0,0.017,0.02,0.028
2012-03-12 08:00:00,0.177,0.027,0.021,0.045,0.154,0.065
2012-03-12 09:00:00,0.287,0.073,0.068,0.09,0.301,0.115
2012-03-12 10:00:00,0.403,0.157,0.117,0.132,0.415,0.183
2012-03-12 11:00:00,0.494,0.232,0.154,0.171,0.506,0.209
2012-03-12 12:00:00,0.534,0.263,0.169,0.211,0.579,0.262
2012-03-12 13:00:00,0.466,0.266,0.163,0.238,0.576,0.365
2012-03-12 14:00:00,0.421,0.232,0.145,0.25,0.511,0.403
2012-03-12 15:00:00,0.33,0.184,0.113,0.211,0.38,0.316
2012-03-12 16:00:00,0.211,0.137,0.07,0.113,0.212,0.177
2012-03-12 17:00:00,0.028,0.058,0.027,0.008,0.066,0.053
2012-03-12 18:00:00,0.0,0.0,0.001,0.0,0.0,0.0
2012-03-12 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-12 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-12 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-12 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-12 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-13 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-13 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-13 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-13 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-13 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-13 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-13 06:00:00,0.004,0.0,0.0,0.0,0.0,0.0
2012-03-13 07:00:00,0.082,0.001,0.0,0.05,0.027,0.083
2012-03-13 08:00:00,0.169,0.022,0.029,0.106,0.201,0.215
2012-03-13 09:00:00,0.214,0.064,0.07,0.19,0.397,0.31
2012-03-13 10:00:00,0.219,0.112,0.116,0.327,0.552,0.349
2012-03-13 11:00:00,0.182,0.14,0.16,0.493,0.648,0.343
2012-03-13 12:00:00,0.161,0.158,0.179,0.597,0.685,0.337
2012-03-13 13:00:00,0.115,0.157,0.175,0.591,0.658,0.305
2012-03-13 14:00:00,0.102,0.127,0.153,0.501,0.577,0.237
2012-03-13 15:00:00,0.077,0.094,0.117,0.353,0.452,0.153
2012-03-13 16:00:00,0.052,0.054,0.08,0.171,0.276,0.066
2012-03-13 17:00:00,0.007,0.015,0.036,0.012,0.091,0.011
2012-03-13 18:00:00,0.0,0.0,0.003,0.0,0.0,0.0
2012-03-13 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-13 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-13 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-13 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-13 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-14 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-14 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-14 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-14 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-14 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-14 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-14 06:00:00,0.002,0.0,0.0,0.0,0.0,0.0
2012-03-14 07:00:00,0.036,0.004,0.001,0.129,0.026,0.043
2012-03-14 08:00:00,0.103,0.032,0.039,0.329,0.164,0.131
2012-03-14 09:00:00,0.144,0.07,0.089,0.502,0.335,0.228
2012-03-14 10:00:00,0.159,0.111,0.139,0.625,0.473,0.337
2012-03-14 11:00:00,0.164,0.138,0.18,0.684,0.57,0.369
2012-03-14 12:00:00,0.173,0.153,0.205,0.694,0.619,0.339
2012-03-14 13:00:00,0.143,0.158,0.218,0.643,0.61,0.321
2012-03-14 14:00:00,0.132,0.137,0.207,0.524,0.545,0.28
2012-03-14 15:00:00,0.094,0.11,0.17,0.361,0.424,0.208
2012-03-14 16:00:00,0.053,0.076,0.118,0.168,0.263,0.122
2012-03-14 17:00:00,0.006,0.029,0.055,0.016,0.092,0.032
2012-03-14 18:00:00,0.0,0.0,0.006,0.0,0.0,0.0
2012-03-14 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-14 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-14 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-14 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-14 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-15 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-15 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-15 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-15 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-15 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-15 06:00:00,0.001,0.0,0.0,0.0,0.0,0.0
2012-03-15 07:00:00,0.034,0.018,0.007,0.151,0.029,0.055
2012-03-15 08:00:00,0.088,0.071,0.075,0.368,0.152,0.143
2012-03-15 09:00:00,0.12,0.132,0.161,0.517,0.297,0.234
2012-03-15 10:00:00,0.143,0.194,0.235,0.602,0.392,0.281
2012-03-15 11:00:00,0.151,0.25,0.296,0.601,0.472,0.271
2012-03-15 12:00:00,0.17,0.29,0.34,0.558,0.542,0.268
2012-03-15 13:00:00,0.157,0.306,0.355,0.489,0.551,0.27
2012-03-15 14:00:00,0.157,0.288,0.336,0.368,0.515,0.237
2012-03-15 15:00:00,0.132,0.23,0.283,0.269,0.421,0.18
2012-03-15 16:00:00,0.097,0.142,0.196,0.157,0.269,0.105
2012-03-15 17:00:00,0.018,0.052,0.091,0.022,0.096,0.028
2012-03-15 18:00:00,0.0,0.0,0.012,0.0,0.0,0.0
2012-03-15 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-15 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-15 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-15 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-15 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-05-14 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-05-14 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-05-14 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-05-14 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2012-05-14 04:00:00,0.001,0.0,0.0,0.004,0.001,0.0
2012-05-14 05:00:00,0.022,0.006,0.005,0.045,0.011,0.018
