hour,PL,DE,LT,SE
2015-03-01 00:00:00,0.322,0.942,0.3,0.645
2015-03-01 01:00:00,0.329,0.944,0.328,0.683
2015-03-01 02:00:00,0.37,0.944,0.257,0.727
2015-03-01 03:00:00,0.456,0.944,0.216,0.778
2015-03-01 04:00:00,0.557,0.939,0.231,0.836
2015-03-01 05:00:00,0.641,0.945,0.302,0.89
2015-03-01 06:00:00,0.781,0.95,0.471,0.928
2015-03-01 07:00:00,0.885,0.95,0.718,0.943
2015-03-01 08:00:00,0.93,0.95,0.846,0.948
2015-03-01 09:00:00,0.947,0.95,0.899,0.949
2015-03-01 10:00:00,0.95,0.95,0.929,0.95
2015-03-01 11:00:00,0.95,0.949,0.948,0.946
2015-03-01 12:00:00,0.95,0.949,0.95,0.94
2015-03-01 13:00:00,0.95,0.949,0.95,0.939
2015-03-01 14:00:00,0.95,0.95,0.95,0.931
2015-03-01 15:00:00,0.95,0.949,0.95,0.927
2015-03-01 16:00:00,0.95,0.946,0.95,0.913
2015-03-01 17:00:00,0.95,0.942,0.95,0.904
2015-03-01 18:00:00,0.95,0.94,0.95,0.907
2015-03-01 19:00:00,0.948,0.931,0.95,0.902
2015-03-01 20:00:00,0.936,0.908,0.95,0.898
2015-03-01 21:00:00,0.901,0.916,0.95,0.884
2015-03-01 22:00:00,0.841,0.924,0.948,0.846
2015-03-01 23:00:00,0.742,0.92,0.926,0.795
2015-03-02 00:00:00,0.666,0.844,0.717,0.767
2015-03-02 01:00:00,0.684,0.777,0.47,0.73
2015-03-02 02:00:00,0.662,0.707,0.437,0.722
2015-03-02 03:00:00,0.615,0.799,0.414,0.691
2015-03-02 04:00:00,0.595,0.89,0.404,0.658
2015-03-02 05:00:00,0.677,0.918,0.368,0.697
2015-03-02 06:00:00,0.595,0.929,0.474,0.638
2015-03-02 07:00:00,0.469,0.935,0.481,0.577
2015-03-02 08:00:00,0.38,0.939,0.446,0.56
2015-03-02 09:00:00,0.388,0.942,0.328,0.578
2015-03-02 10:00:00,0.472,0.945,0.229,0.6
2015-03-02 11:00:00,0.728,0.949,0.307,0.716
2015-03-02 12:00:00,0.832,0.95,0.533,0.81
2015-03-02 13:00:00,0.809,0.95,0.503,0.797
2015-03-02 14:00:00,0.781,0.95,0.393,0.734
2015-03-02 15:00:00,0.783,0.947,0.333,0.693
2015-03-02 16:00:00,0.781,0.939,0.429,0.72
2015-03-02 17:00:00,0.865,0.886,0.67,0.764
2015-03-02 18:00:00,0.9,0.842,0.574,0.799
2015-03-02 19:00:00,0.918,0.835,0.361,0.813
2015-03-02 20:00:00,0.929,0.811,0.474,0.798
2015-03-02 21:00:00,0.936,0.816,0.59,0.781
2015-03-02 22:00:00,0.936,0.86,0.697,0.764
2015-03-02 23:00:00,0.919,0.929,0.727,0.738
2015-03-03 00:00:00,0.933,0.948,0.709,0.711
2015-03-03 01:00:00,0.947,0.95,0.665,0.691
2015-03-03 02:00:00,0.95,0.95,0.754,0.685
2015-03-03 03:00:00,0.95,0.949,0.896,0.665
2015-03-03 04:00:00,0.95,0.949,0.936,0.661
2015-03-03 05:00:00,0.95,0.946,0.948,0.671
2015-03-03 06:00:00,0.95,0.924,0.949,0.676
2015-03-03 07:00:00,0.95,0.903,0.95,0.674
2015-03-03 08:00:00,0.95,0.909,0.95,0.679
2015-03-03 09:00:00,0.95,0.907,0.95,0.679
2015-03-03 10:00:00,0.95,0.881,0.95,0.702
2015-03-03 11:00:00,0.95,0.905,0.95,0.682
2015-03-03 12:00:00,0.95,0.867,0.95,0.681
2015-03-03 13:00:00,0.95,0.827,0.95,0.681
2015-03-03 14:00:00,0.95,0.726,0.95,0.681
2015-03-03 15:00:00,0.95,0.623,0.95,0.667
2015-03-03 16:00:00,0.95,0.597,0.95,0.65
2015-03-03 17:00:00,0.95,0.642,0.95,0.638
2015-03-03 18:00:00,0.95,0.691,0.95,0.631
2015-03-03 19:00:00,0.949,0.728,0.95,0.608
2015-03-03 20:00:00,0.944,0.722,0.95,0.58
