hour,PL,CZ,DE,LT,SE,SK
2012-03-09 00:00:00,0.362,0.312,0.357,0.181,0.693,0.354
2012-03-09 01:00:00,0.35,0.335,0.348,0.184,0.676,0.327
2012-03-09 02:00:00,0.339,0.354,0.36,0.18,0.639,0.3
2012-03-09 03:00:00,0.326,0.344,0.386,0.192,0.591,0.279
2012-03-09 04:00:00,0.333,0.338,0.407,0.209,0.551,0.259
2012-03-09 05:00:00,0.339,0.325,0.412,0.246,0.519,0.247
2012-03-09 06:00:00,0.335,0.324,0.413,0.283,0.483,0.22
2012-03-09 07:00:00,0.282,0.341,0.419,0.307,0.446,0.197
2012-03-09 08:00:00,0.24,0.348,0.412,0.254,0.429,0.173
2012-03-09 09:00:00,0.249,0.392,0.433,0.249,0.382,0.191
2012-03-09 10:00:00,0.229,0.437,0.468,0.244,0.35,0.183
2012-03-09 11:00:00,0.196,0.418,0.32,0.198,0.3,0.151
2012-03-09 12:00:00,0.157,0.472,0.335,0.16,0.28,0.132
2012-03-09 13:00:00,0.122,0.491,0.342,0.132,0.284,0.092
2012-03-09 14:00:00,0.094,0.504,0.346,0.115,0.283,0.058
2012-03-09 15:00:00,0.071,0.52,0.346,0.115,0.28,0.04
2012-03-09 16:00:00,0.073,0.481,0.331,0.122,0.289,0.029
2012-03-09 17:00:00,0.102,0.482,0.293,0.15,0.286,0.03
2012-03-09 18:00:00,0.117,0.466,0.275,0.199,0.303,0.026
2012-03-09 19:00:00,0.117,0.468,0.266,0.226,0.32,0.017
2012-03-09 20:00:00,0.111,0.484,0.252,0.225,0.331,0.01
2012-03-09 21:00:00,0.103,0.459,0.233,0.224,0.335,0.005
2012-03-09 22:00:00,0.092,0.422,0.212,0.218,0.353,0.003
2012-03-09 23:00:00,0.084,0.326,0.206,0.253,0.345,0.005
2012-03-10 00:00:00,0.079,0.301,0.192,0.229,0.376,0.01
2012-03-10 01:00:00,0.07,0.264,0.182,0.21,0.42,0.016
2012-03-10 02:00:00,0.062,0.252,0.171,0.192,0.472,0.024
2012-03-10 03:00:00,0.063,0.241,0.162,0.177,0.533,0.043
2012-03-10 04:00:00,0.063,0.234,0.169,0.181,0.596,0.064
2012-03-10 05:00:00,0.058,0.212,0.185,0.189,0.644,0.083
2012-03-10 06:00:00,0.049,0.192,0.207,0.203,0.684,0.102
2012-03-10 07:00:00,0.04,0.189,0.235,0.224,0.712,0.104
2012-03-10 08:00:00,0.044,0.189,0.249,0.177,0.725,0.077
2012-03-10 09:00:00,0.063,0.199,0.227,0.101,0.732,0.078
2012-03-10 10:00:00,0.095,0.184,0.168,0.093,0.712,0.138
2012-03-10 11:00:00,0.134,0.143,0.168,0.071,0.671,0.111
2012-03-10 12:00:00,0.173,0.14,0.176,0.086,0.686,0.107
2012-03-10 13:00:00,0.207,0.116,0.198,0.098,0.706,0.115
2012-03-10 14:00:00,0.226,0.097,0.228,0.109,0.756,0.155
2012-03-10 15:00:00,0.208,0.083,0.261,0.136,0.801,0.154
2012-03-10 16:00:00,0.2,0.076,0.281,0.176,0.816,0.121
2012-03-10 17:00:00,0.246,0.048,0.287,0.296,0.815,0.122
2012-03-10 18:00:00,0.302,0.044,0.313,0.409,0.815,0.16
2012-03-10 19:00:00,0.35,0.053,0.341,0.494,0.797,0.136
2012-03-10 20:00:00,0.391,0.058,0.363,0.548,0.768,0.113
2012-03-10 21:00:00,0.422,0.069,0.373,0.591,0.741,0.115
2012-03-10 22:00:00,0.442,0.092,0.377,0.627,0.716,0.11
2012-03-10 23:00:00,0.452,0.176,0.411,0.662,0.706,0.083
2012-03-11 00:00:00,0.461,0.177,0.416,0.715,0.685,0.069
2012-03-11 01:00:00,0.467,0.181,0.429,0.761,0.659,0.055
2012-03-11 02:00:00,0.471,0.192,0.431,0.791,0.639,0.044
2012-03-11 03:00:00,0.472,0.206,0.429,0.812,0.624,0.032
2012-03-11 04:00:00,0.47,0.232,0.425,0.824,0.601,0.023
2012-03-11 05:00:00,0.476,0.252,0.419,0.839,0.604,0.014
2012-03-11 06:00:00,0.486,0.274,0.419,0.841,0.598,0.01
2012-03-11 07:00:00,0.482,0.303,0.422,0.832,0.604,0.007
2012-03-11 08:00:00,0.475,0.3,0.412,0.817,0.594,0.005
2012-03-11 09:00:00,0.501,0.256,0.406,0.808,0.575,0.003
2012-03-11 10:00:00,0.559,0.203,0.38,0.805,0.552,0.005
2012-03-11 11:00:00,0.612,0.146,0.321,0.777,0.531,0.003
2012-03-11 12:00:00,0.632,0.191,0.349,0.781,0.557,0.009
2012-03-11 13:00:00,0.627,0.244,0.372,0.797,0.601,0.023
2012-03-11 14:00:00,0.611,0.279,0.396,0.809,0.654,0.042
2012-03-11 15:00:00,0.595,0.314,0.424,0.816,0.735,0.057
2012-03-11 16:00:00,0.609,0.345,0.424,0.828,0.761,0.052
2012-03-11 17:00:00,0.628,0.418,0.406,0.839,0.77,0.064
2012-03-11 18:00:00,0.645,0.487,0.416,0.853,0.767,0.078
2012-03-11 19:00:00,0.668,0.54,0.425,0.845,0.763,0.084
2012-03-11 20:00:00,0.698,0.582,0.439,0.84,0.769,0.088
2012-03-11 21:00:00,0.733,0.593,0.451,0.841,0.776,0.111
2012-03-11 22:00:00,0.776,0.584,0.457,0.859,0.772,0.143
2012-03-11 23:00:00,0.808,0.614,0.445,0.89,0.8,0.183
2012-03-12 00:00:00,0.835,0.594,0.455,0.892,0.775,0.185
2012-03-12 01:00:00,0.86,0.598,0.475,0.894,0.753,0.179
2012-03-12 02:00:00,0.88,0.621,0.484,0.889,0.725,0.172
2012-03-12 03:00:00,0.889,0.653,0.491,0.878,0.704,0.189
2012-03-12 04:00:00,0.881,0.679,0.488,0.884,0.678,0.2
2012-03-12 05:00:00,0.84,0.694,0.486,0.892,0.646,0.22
2012-03-12 06:00:00,0.798,0.709,0.48,0.888,0.601,0.263
2012-03-12 07:00:00,0.749,0.738,0.466,0.858,0.548,0.323
2012-03-12 08:00:00,0.732,0.75,0.442,0.86,0.449,0.378
2012-03-12 09:00:00,0.748,0.78,0.453,0.856,0.345,0.418
