hour,PL
2012-03-09 00:00:00,0.63
2012-03-09 01:00:00,0.456
2012-03-09 02:00:00,0.324
2012-03-09 03:00:00,0.231
2012-03-09 04:00:00,0.17
2012-03-09 05:00:00,0.15
2012-03-09 06:00:00,0.24
2012-03-09 07:00:00,0.45
2012-03-09 08:00:00,0.732
2012-03-09 09:00:00,0.942
2012-03-09 10:00:00,1.062
2012-03-09 11:00:00,1.144
2012-03-09 12:00:00,1.202
2012-03-09 13:00:00,1.238
2012-03-09 14:00:00,1.277
2012-03-09 15:00:00,1.362
2012-03-09 16:00:00,1.487
2012-03-09 17:00:00,1.604
2012-03-09 18:00:00,1.623
2012-03-09 19:00:00,1.556
2012-03-09 20:00:00,1.428
2012-03-09 21:00:00,1.259
2012-03-09 22:00:00,1.068
2012-03-09 23:00:00,0.864
2012-03-10 00:00:00,0.655
2012-03-10 01:00:00,0.473
2012-03-10 02:00:00,0.336
2012-03-10 03:00:00,0.238
2012-03-10 04:00:00,0.176
2012-03-10 05:00:00,0.157
2012-03-10 06:00:00,0.254
2012-03-10 07:00:00,0.478
2012-03-10 08:00:00,0.781
2012-03-10 09:00:00,1.006
2012-03-10 10:00:00,1.134
2012-03-10 11:00:00,1.22
2012-03-10 12:00:00,1.282
2012-03-10 13:00:00,1.321
2012-03-10 14:00:00,1.361
2012-03-10 15:00:00,1.452
2012-03-10 16:00:00,1.584
2012-03-10 17:00:00,1.708
2012-03-10 18:00:00,1.73
2012-03-10 19:00:00,1.658
2012-03-10 20:00:00,1.522
2012-03-10 21:00:00,1.343
2012-03-10 22:00:00,1.139
2012-03-10 23:00:00,0.922
2012-03-11 00:00:00,0.697
2012-03-11 01:00:00,0.528
2012-03-11 02:00:00,0.396
2012-03-11 03:00:00,0.301
2012-03-11 04:00:00,0.235
2012-03-11 05:00:00,0.201
2012-03-11 06:00:00,0.215
2012-03-11 07:00:00,0.266
2012-03-11 08:00:00,0.344
2012-03-11 09:00:00,0.459
2012-03-11 10:00:00,0.604
2012-03-11 11:00:00,0.784
2012-03-11 12:00:00,0.959
2012-03-11 13:00:00,1.113
2012-03-11 14:00:00,1.237
2012-03-11 15:00:00,1.324
2012-03-11 16:00:00,1.365
2012-03-11 17:00:00,1.362
2012-03-11 18:00:00,1.323
2012-03-11 19:00:00,1.252
2012-03-11 20:00:00,1.158
2012-03-11 21:00:00,1.042
2012-03-11 22:00:00,0.907
2012-03-11 23:00:00,0.762
2012-03-12 00:00:00,0.617
