hour,PL
2015-03-01 00:00:00,3.48
2015-03-01 01:00:00,3.46
2015-03-01 02:00:00,3.44
2015-03-01 03:00:00,3.43
2015-03-01 04:00:00,3.43
2015-03-01 05:00:00,3.41
2015-03-01 06:00:00,3.42
2015-03-01 07:00:00,3.5
2015-03-01 08:00:00,3.64
2015-03-01 09:00:00,3.82
2015-03-01 10:00:00,3.96
2015-03-01 11:00:00,4.08
2015-03-01 12:00:00,4.17
2015-03-01 13:00:00,4.21
2015-03-01 14:00:00,4.21
2015-03-01 15:00:00,4.17
2015-03-01 16:00:00,4.1
2015-03-01 17:00:00,4.03
2015-03-01 18:00:00,4.0
2015-03-01 19:00:00,3.98
2015-03-01 20:00:00,3.98
2015-03-01 21:00:00,3.96
2015-03-01 22:00:00,3.94
2015-03-01 23:00:00,3.92
2015-03-02 00:00:00,3.9
2015-03-02 01:00:00,3.88
2015-03-02 02:00:00,3.84
2015-03-02 03:00:00,3.8
2015-03-02 04:00:00,3.79
2015-03-02 05:00:00,3.77
2015-03-02 06:00:00,3.79
2015-03-02 07:00:00,3.87
2015-03-02 08:00:00,4.0
2015-03-02 09:00:00,4.09
2015-03-02 10:00:00,4.14
2015-03-02 11:00:00,4.18
2015-03-02 12:00:00,4.16
2015-03-02 13:00:00,4.1
2015-03-02 14:00:00,4.08
2015-03-02 15:00:00,4.02
2015-03-02 16:00:00,3.91
2015-03-02 17:00:00,3.82
2015-03-02 18:00:00,3.75
2015-03-02 19:00:00,3.7
2015-03-02 20:00:00,3.64
2015-03-02 21:00:00,3.61
2015-03-02 22:00:00,3.57
2015-03-02 23:00:00,3.54
2015-03-03 00:00:00,3.52
2015-03-03 01:00:00,3.49
2015-03-03 02:00:00,3.48
2015-03-03 03:00:00,3.47
2015-03-03 04:00:00,3.46
2015-03-03 05:00:00,3.44
2015-03-03 06:00:00,3.46
2015-03-03 07:00:00,3.49
2015-03-03 08:00:00,3.54
2015-03-03 09:00:00,3.58
2015-03-03 10:00:00,3.63
2015-03-03 11:00:00,3.67
2015-03-03 12:00:00,3.71
2015-03-03 13:00:00,3.74
2015-03-03 14:00:00,3.77
2015-03-03 15:00:00,3.75
2015-03-03 16:00:00,3.7
2015-03-03 17:00:00,3.58
2015-03-03 18:00:00,3.53
2015-03-03 19:00:00,3.51
2015-03-03 20:00:00,3.49
2015-03-03 21:00:00,3.47
2015-03-03 22:00:00,3.46
2015-03-03 23:00:00,3.45
2015-03-04 00:00:00,3.46
2015-03-04 01:00:00,3.47
2015-03-04 02:00:00,3.47
2015-03-04 03:00:00,3.48
2015-03-04 04:00:00,3.48
2015-03-04 05:00:00,3.49
2015-03-04 06:00:00,3.5
2015-03-04 07:00:00,3.51
2015-03-04 08:00:00,3.54
2015-03-04 09:00:00,3.57
2015-03-04 10:00:00,3.6
2015-03-04 11:00:00,3.62
2015-03-04 12:00:00,3.66
2015-03-04 13:00:00,3.69
2015-03-04 14:00:00,3.7
2015-03-04 15:00:00,3.69
2015-03-04 16:00:00,3.61
2015-03-04 17:00:00,3.52
2015-03-04 18:00:00,3.45
2015-03-04 19:00:00,3.4
2015-03-04 20:00:00,3.38
2015-03-04 21:00:00,3.38
2015-03-04 22:00:00,3.37
2015-03-04 23:00:00,3.36
2015-03-05 00:00:00,3.35
2015-03-05 01:00:00,3.34
2015-03-05 02:00:00,3.33
2015-03-05 03:00:00,3.32
2015-03-05 04:00:00,3.33
2015-03-05 05:00:00,3.32
2015-03-05 06:00:00,3.34
2015-03-05 07:00:00,3.4
2015-03-05 08:00:00,3.47
2015-03-05 09:00:00,3.53
2015-03-05 10:00:00,3.6
2015-03-05 11:00:00,3.64
2015-03-05 12:00:00,3.67
2015-03-05 13:00:00,3.67
2015-03-05 14:00:00,3.64
2015-03-05 15:00:00,3.61
2015-03-05 16:00:00,3.56
2015-03-05 17:00:00,3.48
2015-03-05 18:00:00,3.42
2015-03-05 19:00:00,3.37
2015-03-05 20:00:00,3.35
2015-03-05 21:00:00,3.31
2015-03-05 22:00:00,3.28
2015-03-05 23:00:00,3.26
2015-03-06 00:00:00,3.24
2015-03-06 01:00:00,3.22
2015-03-06 02:00:00,3.2
2015-03-06 03:00:00,3.18
2015-03-06 04:00:00,3.18
2015-03-06 05:00:00,3.17
2015-03-06 06:00:00,3.18
2015-03-06 07:00:00,3.24
2015-03-06 08:00:00,3.31
2015-03-06 09:00:00,3.38
2015-03-06 10:00:00,3.45
2015-03-06 11:00:00,3.52
2015-03-06 12:00:00,3.58
2015-03-06 13:00:00,3.63
2015-03-06 14:00:00,3.66
2015-03-06 15:00:00,3.66
2015-03-06 16:00:00,3.62
2015-03-06 17:00:00,3.55
2015-03-06 18:00:00,3.51
2015-03-06 19:00:00,3.49
2015-03-06 20:00:00,3.47
2015-03-06 21:00:00,3.46
2015-03-06 22:00:00,3.46
2015-03-06 23:00:00,3.46
2015-03-07 00:00:00,3.46
2015-03-07 01:00:00,3.47
2015-03-07 02:00:00,3.48
2015-03-07 03:00:00,3.49
2015-03-07 04:00:00,3.5
2015-03-07 05:00:00,3.5
2015-03-07 06:00:00,3.52
2015-03-07 07:00:00,3.6
2015-03-07 08:00:00,3.72
2015-03-07 09:00:00,3.88
2015-03-07 10:00:00,4.01
2015-03-07 11:00:00,4.11
2015-03-07 12:00:00,4.2
2015-03-07 13:00:00,4.26
2015-03-07 14:00:00,4.29
2015-03-07 15:00:00,4.29
2015-03-07 16:00:00,4.22
2015-03-07 17:00:00,4.07
2015-03-07 18:00:00,3.97
2015-03-07 19:00:00,3.9
2015-03-07 20:00:00,3.84
2015-03-07 21:00:00,3.8
2015-03-07 22:00:00,3.77
2015-03-07 23:00:00,3.76
2015-05-25 00:00:00,4.18
2015-05-25 01:00:00,4.14
2015-05-25 02:00:00,4.11
2015-05-25 03:00:00,4.09
2015-05-25 04:00:00,4.16
2015-05-25 05:00:00,4.31
2015-05-25 06:00:00,4.46
2015-05-25 07:00:00,4.57
2015-05-25 08:00:00,4.61
2015-05-25 09:00:00,4.65
2015-05-25 10:00:00,4.68
