hour,PL,CZ,DE,LT,SE,SK
2012-03-09 00:00:00,0.955,1.004,0.948,0.968,1.12,1.001
2012-03-09 01:00:00,0.922,1.011,0.87,0.94,1.054,0.929
2012-03-09 02:00:00,0.91,0.998,0.864,0.937,1.051,0.932
2012-03-09 03:00:00,0.909,0.986,0.861,0.938,1.044,0.939
2012-03-09 04:00:00,0.922,0.994,0.878,0.961,1.056,0.965
2012-03-09 05:00:00,0.953,1.051,0.96,1.055,1.12,1.027
2012-03-09 06:00:00,1.044,1.17,1.052,1.129,1.214,1.154
2012-03-09 07:00:00,1.157,1.229,1.127,1.178,1.278,1.182
2012-03-09 08:00:00,1.201,1.252,1.18,1.177,1.293,1.218
2012-03-09 09:00:00,1.213,1.266,1.211,1.171,1.303,1.212
2012-03-09 10:00:00,1.209,1.256,1.215,1.166,1.3,1.205
2012-03-09 11:00:00,1.221,1.241,1.221,1.152,1.29,1.213
2012-03-09 12:00:00,1.219,1.246,1.232,1.154,1.275,1.215
2012-03-09 13:00:00,1.225,1.237,1.224,1.145,1.265,1.188
2012-03-09 14:00:00,1.209,1.228,1.199,1.13,1.26,1.18
2012-03-09 15:00:00,1.183,1.22,1.182,1.107,1.254,1.174
2012-03-09 16:00:00,1.169,1.208,1.189,1.1,1.269,1.192
2012-03-09 17:00:00,1.204,1.222,1.226,1.124,1.281,1.177
2012-03-09 18:00:00,1.279,1.224,1.257,1.156,1.278,1.187
2012-03-09 19:00:00,1.291,1.23,1.237,1.157,1.267,1.172
2012-03-09 20:00:00,1.249,1.193,1.171,1.113,1.229,1.124
2012-03-09 21:00:00,1.176,1.138,1.105,1.028,1.177,1.054
2012-03-09 22:00:00,1.087,1.077,1.041,0.974,1.118,1.003
2012-03-09 23:00:00,1.01,1.035,0.973,0.949,1.094,0.971
2012-03-10 00:00:00,0.955,1.003,0.911,0.94,1.065,0.929
2012-03-10 01:00:00,0.922,0.903,0.845,0.935,0.984,0.893
2012-03-10 02:00:00,0.907,0.899,0.833,0.934,0.981,0.896
2012-03-10 03:00:00,0.906,0.89,0.829,0.933,0.972,0.897
2012-03-10 04:00:00,0.918,0.884,0.826,0.937,0.964,0.905
2012-03-10 05:00:00,0.951,0.899,0.83,0.971,0.966,0.915
2012-03-10 06:00:00,1.042,0.952,0.845,1.014,1.006,0.964
2012-03-10 07:00:00,1.145,0.992,0.902,1.054,1.064,0.99
2012-03-10 08:00:00,1.201,1.018,0.969,1.088,1.087,1.043
2012-03-10 09:00:00,1.224,1.049,1.021,1.101,1.101,1.063
2012-03-10 10:00:00,1.223,1.06,1.039,1.102,1.104,1.079
2012-03-10 11:00:00,1.232,1.055,1.045,1.098,1.101,1.072
2012-03-10 12:00:00,1.226,1.054,1.049,1.096,1.092,1.051
2012-03-10 13:00:00,1.233,1.051,1.019,1.088,1.086,1.035
2012-03-10 14:00:00,1.206,1.047,0.993,1.081,1.086,1.017
2012-03-10 15:00:00,1.183,1.046,0.984,1.086,1.094,1.027
2012-03-10 16:00:00,1.166,1.044,0.998,1.093,1.116,1.053
2012-03-10 17:00:00,1.187,1.052,1.037,1.098,1.151,1.055
2012-03-10 18:00:00,1.266,1.053,1.04,1.111,1.169,1.061
2012-03-10 19:00:00,1.268,1.056,1.033,1.106,1.173,1.045
2012-03-10 20:00:00,1.226,1.042,0.982,1.076,1.147,1.006
2012-03-10 21:00:00,1.154,1.014,0.944,1.022,1.11,0.973
2012-03-10 22:00:00,1.079,0.985,0.912,0.978,1.069,0.933
2012-03-10 23:00:00,1.005,0.966,0.859,0.947,1.056,0.914
2012-03-11 00:00:00,0.946,0.947,0.848,0.934,1.029,0.888
2012-03-11 01:00:00,0.905,0.882,0.778,0.901,0.985,0.834
2012-03-11 02:00:00,0.888,0.883,0.76,0.896,0.985,0.834
2012-03-11 03:00:00,0.882,0.871,0.756,0.899,0.98,0.835
2012-03-11 04:00:00,0.879,0.858,0.753,0.9,0.98,0.842
2012-03-11 05:00:00,0.879,0.856,0.758,0.914,1.0,0.85
2012-03-11 06:00:00,0.886,0.897,0.761,0.936,1.045,0.899
2012-03-11 07:00:00,0.955,0.941,0.799,0.969,1.089,0.933
2012-03-11 08:00:00,1.026,0.978,0.866,1.01,1.098,1.0
2012-03-11 09:00:00,1.07,1.031,0.919,1.034,1.101,1.03
2012-03-11 10:00:00,1.088,1.059,0.959,1.042,1.095,1.053
2012-03-11 11:00:00,1.093,1.058,0.986,1.042,1.084,1.044
2012-03-11 12:00:00,1.086,1.053,0.973,1.038,1.071,1.015
2012-03-11 13:00:00,1.086,1.053,0.947,1.032,1.062,0.996
2012-03-11 14:00:00,1.062,1.049,0.923,1.029,1.06,0.974
2012-03-11 15:00:00,1.031,1.053,0.915,1.045,1.06,0.985
2012-03-11 16:00:00,1.025,1.059,0.926,1.06,1.076,1.012
2012-03-11 17:00:00,1.068,1.062,0.971,1.066,1.108,1.018
2012-03-11 18:00:00,1.14,1.053,0.985,1.08,1.13,1.031
2012-03-11 19:00:00,1.135,1.047,0.979,1.088,1.138,1.02
2012-03-11 20:00:00,1.091,1.039,0.967,1.062,1.113,0.981
2012-03-11 21:00:00,1.032,1.01,0.935,1.003,1.075,0.946
2012-03-11 22:00:00,0.967,0.987,0.913,0.957,1.037,0.9
2012-03-11 23:00:00,0.899,0.965,0.863,0.924,1.03,0.878
2012-03-12 00:00:00,0.834,0.937,0.831,0.907,1.01,0.848
2012-03-12 01:00:00,0.792,0.969,0.843,0.899,0.968,0.888
2012-03-12 02:00:00,0.774,0.958,0.838,0.894,0.968,0.89
2012-03-12 03:00:00,0.761,0.946,0.834,0.896,0.964,0.896
2012-03-12 04:00:00,0.762,0.955,0.84,0.913,0.977,0.922
2012-03-12 05:00:00,0.755,1.008,0.916,1.003,1.039,0.985
2012-03-12 06:00:00,0.749,1.124,1.031,1.082,1.137,1.11
2012-03-12 07:00:00,0.792,1.182,1.131,1.136,1.208,1.142
2012-03-12 08:00:00,0.852,1.207,1.191,1.149,1.217,1.182
2012-03-12 09:00:00,0.903,1.232,1.218,1.142,1.216,1.18
2012-03-12 10:00:00,0.934,1.23,1.222,1.136,1.201,1.175
2012-03-12 11:00:00,0.948,1.219,1.229,1.131,1.181,1.182
2012-03-12 12:00:00,0.953,1.224,1.24,1.132,1.159,1.182
2012-03-12 13:00:00,0.95,1.218,1.238,1.128,1.143,1.154
2012-03-12 14:00:00,0.926,1.209,1.215,1.116,1.134,1.144
2012-03-12 15:00:00,0.905,1.206,1.201,1.101,1.122,1.138
2012-03-12 16:00:00,0.896,1.204,1.213,1.094,1.132,1.156
2012-03-12 17:00:00,0.926,1.214,1.251,1.103,1.158,1.143
2012-03-12 18:00:00,1.046,1.204,1.258,1.117,1.181,1.157
2012-03-12 19:00:00,1.073,1.199,1.222,1.115,1.188,1.145
2012-03-12 20:00:00,1.038,1.159,1.153,1.081,1.159,1.1
2012-03-12 21:00:00,0.988,1.098,1.089,1.009,1.11,1.029
2012-03-12 22:00:00,0.944,1.039,1.026,0.956,1.053,0.977
2012-03-12 23:00:00,0.87,0.993,0.952,0.922,1.028,0.944
2012-03-13 00:00:00,0.818,0.951,0.883,0.904,1.0,0.901
2012-03-13 01:00:00,0.803,0.965,0.871,0.891,0.953,0.9
2012-03-13 02:00:00,0.79,0.954,0.866,0.888,0.951,0.901
2012-03-13 03:00:00,0.792,0.942,0.863,0.888,0.945,0.908
2012-03-13 04:00:00,0.807,0.951,0.866,0.905,0.952,0.934
2012-03-13 05:00:00,0.849,1.003,0.936,0.993,0.999,0.999
2012-03-13 06:00:00,0.969,1.121,1.044,1.066,1.089,1.115
2012-03-13 07:00:00,1.097,1.18,1.139,1.115,1.167,1.14
2012-03-13 08:00:00,1.168,1.206,1.199,1.12,1.185,1.176
2012-03-13 09:00:00,1.194,1.231,1.227,1.114,1.189,1.172
2012-03-13 10:00:00,1.195,1.229,1.231,1.11,1.18,1.166
2012-03-13 11:00:00,1.206,1.217,1.238,1.1,1.164,1.171
2012-03-13 12:00:00,1.209,1.222,1.25,1.103,1.144,1.17
2012-03-13 13:00:00,1.21,1.216,1.248,1.094,1.13,1.143
2012-03-13 14:00:00,1.194,1.207,1.225,1.081,1.122,1.136
2012-03-13 15:00:00,1.175,1.204,1.212,1.061,1.115,1.133
2012-03-13 16:00:00,1.17,1.2,1.225,1.055,1.13,1.156
2012-03-13 17:00:00,1.199,1.211,1.266,1.074,1.163,1.149
2012-03-13 18:00:00,1.255,1.203,1.277,1.098,1.186,1.164
2012-03-13 19:00:00,1.266,1.199,1.244,1.097,1.194,1.15
2012-03-13 20:00:00,1.228,1.159,1.174,1.058,1.167,1.099
2012-03-13 21:00:00,1.147,1.098,1.11,0.981,1.118,1.033
2012-03-13 22:00:00,1.064,1.038,1.05,0.93,1.061,0.986
2012-03-13 23:00:00,0.985,0.993,0.979,0.902,1.033,0.957
2012-03-14 00:00:00,0.925,0.95,0.91,0.892,1.001,0.919
2012-03-14 01:00:00,0.89,0.953,0.876,0.904,0.996,0.897
2012-03-14 02:00:00,0.871,0.941,0.87,0.901,0.994,0.898
2012-03-14 03:00:00,0.875,0.93,0.867,0.901,0.989,0.903
2012-03-14 04:00:00,0.889,0.937,0.875,0.914,1.001,0.928
2012-03-14 05:00:00,0.922,0.991,0.947,0.999,1.057,0.988
2012-03-14 06:00:00,1.015,1.107,1.043,1.075,1.158,1.103
2012-03-14 07:00:00,1.127,1.168,1.128,1.124,1.237,1.132
2012-03-14 08:00:00,1.186,1.196,1.188,1.132,1.253,1.173
2012-03-14 09:00:00,1.206,1.219,1.22,1.126,1.253,1.173
2012-03-14 10:00:00,1.204,1.216,1.224,1.122,1.239,1.169
2012-03-14 11:00:00,1.216,1.203,1.231,1.115,1.22,1.175
2012-03-14 12:00:00,1.214,1.206,1.243,1.117,1.198,1.171
2012-03-14 13:00:00,1.218,1.198,1.236,1.11,1.18,1.144
2012-03-14 14:00:00,1.206,1.189,1.212,1.098,1.17,1.134
2012-03-14 15:00:00,1.179,1.183,1.197,1.082,1.159,1.131
2012-03-14 16:00:00,1.166,1.175,1.207,1.077,1.17,1.153
2012-03-14 17:00:00,1.198,1.185,1.244,1.089,1.201,1.143
2012-03-14 18:00:00,1.258,1.183,1.264,1.103,1.225,1.159
2012-03-14 19:00:00,1.273,1.184,1.239,1.098,1.235,1.146
2012-03-14 20:00:00,1.235,1.147,1.174,1.063,1.208,1.099
2012-03-14 21:00:00,1.154,1.089,1.112,0.995,1.158,1.033
2012-03-14 22:00:00,1.068,1.028,1.05,0.948,1.099,0.984
2012-03-14 23:00:00,0.985,0.984,0.981,0.918,1.071,0.954
2012-03-15 00:00:00,0.926,0.947,0.916,0.905,1.04,0.914
2012-03-15 01:00:00,0.891,0.958,0.867,0.925,1.014,0.896
2012-03-15 02:00:00,0.877,0.945,0.861,0.922,1.012,0.897
2012-03-15 03:00:00,0.881,0.933,0.858,0.922,1.003,0.904
2012-03-15 04:00:00,0.895,0.94,0.878,0.936,1.012,0.932
2012-03-15 05:00:00,0.914,0.996,0.959,1.026,1.067,0.999
2012-03-15 06:00:00,1.006,1.117,1.04,1.102,1.161,1.104
2012-03-15 07:00:00,1.124,1.177,1.103,1.153,1.233,1.118
2012-03-15 08:00:00,1.185,1.2,1.152,1.158,1.251,1.14
2012-03-15 09:00:00,1.208,1.213,1.181,1.152,1.259,1.13
2012-03-15 10:00:00,1.203,1.202,1.183,1.147,1.254,1.118
2012-03-15 11:00:00,1.217,1.184,1.191,1.14,1.242,1.123
2012-03-15 12:00:00,1.215,1.19,1.202,1.142,1.225,1.125
2012-03-15 13:00:00,1.221,1.181,1.192,1.134,1.212,1.103
2012-03-15 14:00:00,1.205,1.171,1.168,1.122,1.205,1.1
2012-03-15 15:00:00,1.177,1.162,1.152,1.107,1.196,1.099
2012-03-15 16:00:00,1.165,1.147,1.159,1.102,1.209,1.123
2012-03-15 17:00:00,1.185,1.162,1.197,1.113,1.228,1.121
2012-03-15 18:00:00,1.26,1.169,1.228,1.127,1.235,1.136
2012-03-15 19:00:00,1.279,1.179,1.216,1.121,1.233,1.12
2012-03-15 20:00:00,1.24,1.143,1.148,1.085,1.202,1.068
2012-03-15 21:00:00,1.151,1.089,1.082,1.017,1.153,1.01
2012-03-15 22:00:00,1.063,1.027,1.02,0.968,1.096,0.973
2012-03-15 23:00:00,0.988,0.987,0.956,0.938,1.071,0.95
2012-05-14 00:00:00,0.713,0.781,0.764,0.809,0.847,0.785
2012-05-14 01:00:00,0.689,0.856,0.79,0.827,0.859,0.833
2012-05-14 02:00:00,0.679,0.845,0.784,0.822,0.857,0.83
2012-05-14 03:00:00,0.651,0.847,0.779,0.822,0.845,0.834
2012-05-14 04:00:00,0.627,0.88,0.819,0.826,0.855,0.853
2012-05-14 05:00:00,0.66,0.991,0.938,0.898,0.92,0.912
2012-05-14 06:00:00,0.709,1.05,1.04,0.975,1.007,1.038
2012-05-14 07:00:00,0.765,1.078,1.103,1.036,1.06,1.079
2012-05-14 08:00:00,0.808,1.097,1.137,1.057,1.071,1.108
2012-05-14 09:00:00,0.839,1.095,1.144,1.054,1.08,1.108
2012-05-14 10:00:00,0.849,1.103,1.144,1.052,1.074,1.101
2012-05-14 11:00:00,0.855,1.108,1.153,1.048,1.063,1.118
2012-05-14 12:00:00,0.851,1.097,1.164,1.049,1.05,1.127
2012-05-14 13:00:00,0.834,1.076,1.148,1.047,1.039,1.096
2012-05-14 14:00:00,0.813,1.077,1.127,1.034,1.029,1.09
2012-05-14 15:00:00,0.801,1.064,1.106,1.011,1.012,1.069
2012-05-14 16:00:00,0.803,1.047,1.102,0.986,1.01,1.058
2012-05-14 17:00:00,0.816,1.024,1.103,0.98,1.005,1.033
2012-05-14 18:00:00,0.841,1.027,1.107,0.983,0.998,1.047
2012-05-14 19:00:00,0.876,1.02,1.079,0.988,0.994,1.06
2012-05-14 20:00:00,0.907,0.987,1.03,0.982,0.974,1.05
2012-05-14 21:00:00,0.861,0.945,0.969,0.944,0.942,0.983
2012-05-14 22:00:00,0.79,0.898,0.894,0.897,0.9,0.939
2012-05-14 23:00:00,0.734,0.865,0.839,0.858,0.889,0.901
2012-05-15 00:00:00,0.703,0.86,0.794,0.837,0.867,0.856
2012-05-15 01:00:00,0.693,0.853,0.835,0.86,0.821,0.853
2012-05-15 02:00:00,0.693,0.843,0.83,0.857,0.819,0.85
2012-05-15 03:00:00,0.688,0.844,0.826,0.856,0.809,0.855
2012-05-15 04:00:00,0.712,0.876,0.861,0.861,0.821,0.875
2012-05-15 05:00:00,0.858,0.983,0.974,0.938,0.891,0.932
2012-05-15 06:00:00,0.99,1.043,1.074,1.015,0.984,1.045
2012-05-15 07:00:00,1.051,1.072,1.138,1.067,1.037,1.082
2012-05-15 08:00:00,1.075,1.092,1.176,1.078,1.044,1.117
2012-05-15 09:00:00,1.076,1.091,1.185,1.073,1.049,1.121
2012-05-15 10:00:00,1.09,1.099,1.185,1.069,1.039,1.117
2012-05-15 11:00:00,1.091,1.102,1.192,1.064,1.024,1.127
2012-05-15 12:00:00,1.097,1.093,1.203,1.064,1.008,1.128
2012-05-15 13:00:00,1.075,1.071,1.187,1.063,0.994,1.1
2012-05-15 14:00:00,1.063,1.072,1.166,1.051,0.982,1.092
2012-05-15 15:00:00,1.046,1.059,1.145,1.033,0.959,1.079
2012-05-15 16:00:00,1.034,1.042,1.145,1.017,0.953,1.083
2012-05-15 17:00:00,1.022,1.02,1.155,1.012,0.945,1.068
2012-05-15 18:00:00,1.036,1.025,1.16,1.012,0.943,1.085
2012-05-15 19:00:00,1.074,1.018,1.128,1.009,0.944,1.09
2012-05-15 20:00:00,1.072,0.987,1.075,0.993,0.927,1.066
2012-05-15 21:00:00,0.996,0.944,1.012,0.953,0.897,1.003
2012-05-15 22:00:00,0.911,0.897,0.939,0.913,0.856,0.958
2012-05-15 23:00:00,0.846,0.865,0.882,0.882,0.846,0.925
2012-05-16 00:00:00,0.808,0.859,0.839,0.863,0.825,0.885
