hour,PL
2012-03-09 00:00:00,0.115
2012-03-09 01:00:00,0.086
2012-03-09 02:00:00,0.086
2012-03-09 03:00:00,0.096
2012-03-09 04:00:00,0.183
2012-03-09 05:00:00,0.614
2012-03-09 06:00:00,1.16
2012-03-09 07:00:00,1.582
2012-03-09 08:00:00,1.438
2012-03-09 09:00:00,1.198
2012-03-09 10:00:00,1.16
2012-03-09 11:00:00,1.189
2012-03-09 12:00:00,1.227
2012-03-09 13:00:00,1.371
2012-03-09 14:00:00,1.677
2012-03-09 15:00:00,1.917
2012-03-09 16:00:00,1.917
2012-03-09 17:00:00,1.544
2012-03-09 18:00:00,1.198
2012-03-09 19:00:00,0.93
2012-03-09 20:00:00,0.719
2012-03-09 21:00:00,0.547
2012-03-09 22:00:00,0.393
2012-03-09 23:00:00,0.202
2012-03-10 00:00:00,0.115
2012-03-10 01:00:00,0.086
2012-03-10 02:00:00,0.086
2012-03-10 03:00:00,0.106
2012-03-10 04:00:00,0.192
2012-03-10 05:00:00,0.652
2012-03-10 06:00:00,1.236
2012-03-10 07:00:00,1.696
2012-03-10 08:00:00,1.534
2012-03-10 09:00:00,1.275
2012-03-10 10:00:00,1.236
2012-03-10 11:00:00,1.265
2012-03-10 12:00:00,1.313
2012-03-10 13:00:00,1.457
2012-03-10 14:00:00,1.783
2012-03-10 15:00:00,2.042
2012-03-10 16:00:00,2.042
2012-03-10 17:00:00,1.649
2012-03-10 18:00:00,1.275
2012-03-10 19:00:00,0.997
2012-03-10 20:00:00,0.767
2012-03-10 21:00:00,0.585
2012-03-10 22:00:00,0.412
2012-03-10 23:00:00,0.211
2012-03-11 00:00:00,0.231
2012-03-11 01:00:00,0.173
2012-03-11 02:00:00,0.154
2012-03-11 03:00:00,0.144
2012-03-11 04:00:00,0.183
2012-03-11 05:00:00,0.326
2012-03-11 06:00:00,0.46
2012-03-11 07:00:00,0.585
2012-03-11 08:00:00,0.795
2012-03-11 09:00:00,1.007
2012-03-11 10:00:00,1.265
2012-03-11 11:00:00,1.38
2012-03-11 12:00:00,1.448
2012-03-11 13:00:00,1.467
2012-03-11 14:00:00,1.438
2012-03-11 15:00:00,1.361
2012-03-11 16:00:00,1.256
2012-03-11 17:00:00,1.151
2012-03-11 18:00:00,1.026
2012-03-11 19:00:00,0.891
2012-03-11 20:00:00,0.738
2012-03-11 21:00:00,0.556
2012-03-11 22:00:00,0.403
2012-03-11 23:00:00,0.268
2012-03-12 00:00:00,0.202
2012-03-12 01:00:00,0.173
2012-03-12 02:00:00,0.134
2012-03-12 03:00:00,0.115
2012-03-12 04:00:00,0.115
2012-03-12 05:00:00,0.202
2012-03-12 06:00:00,0.278
2012-03-12 07:00:00,0.374
2012-03-12 08:00:00,0.499
2012-03-12 09:00:00,0.71
2012-03-12 10:00:00,0.93
2012-03-12 11:00:00,1.122
2012-03-12 12:00:00,1.246
2012-03-12 13:00:00,1.313
2012-03-12 14:00:00,1.39
2012-03-12 15:00:00,1.409
2012-03-12 16:00:00,1.419
2012-03-12 17:00:00,1.39
2012-03-12 18:00:00,1.332
2012-03-12 19:00:00,1.18
2012-03-12 20:00:00,0.92
2012-03-12 21:00:00,0.643
2012-03-12 22:00:00,0.393
2012-03-12 23:00:00,0.221
2012-03-13 00:00:00,0.106
2012-03-13 01:00:00,0.086
2012-03-13 02:00:00,0.077
2012-03-13 03:00:00,0.096
2012-03-13 04:00:00,0.183
2012-03-13 05:00:00,0.595
2012-03-13 06:00:00,1.122
2012-03-13 07:00:00,1.544
2012-03-13 08:00:00,1.4
2012-03-13 09:00:00,1.17
2012-03-13 10:00:00,1.122
2012-03-13 11:00:00,1.151
2012-03-13 12:00:00,1.198
2012-03-13 13:00:00,1.332
2012-03-13 14:00:00,1.63
2012-03-13 15:00:00,1.86
2012-03-13 16:00:00,1.86
2012-03-13 17:00:00,1.496
2012-03-13 18:00:00,1.16
2012-03-13 19:00:00,0.911
2012-03-13 20:00:00,0.7
2012-03-13 21:00:00,0.527
2012-03-13 22:00:00,0.374
2012-03-13 23:00:00,0.192
2012-03-14 00:00:00,0.106
2012-03-14 01:00:00,0.077
2012-03-14 02:00:00,0.077
2012-03-14 03:00:00,0.086
2012-03-14 04:00:00,0.173
2012-03-14 05:00:00,0.575
2012-03-14 06:00:00,1.093
2012-03-14 07:00:00,1.496
2012-03-14 08:00:00,1.361
2012-03-14 09:00:00,1.132
2012-03-14 10:00:00,1.093
2012-03-14 11:00:00,1.122
2012-03-14 12:00:00,1.16
2012-03-14 13:00:00,1.294
2012-03-14 14:00:00,1.582
2012-03-14 15:00:00,1.802
2012-03-14 16:00:00,1.812
2012-03-14 17:00:00,1.457
2012-03-14 18:00:00,1.122
2012-03-14 19:00:00,0.882
2012-03-14 20:00:00,0.681
2012-03-14 21:00:00,0.518
2012-03-14 22:00:00,0.364
2012-03-14 23:00:00,0.192
2012-03-15 00:00:00,0.106
2012-03-15 01:00:00,0.086
2012-03-15 02:00:00,0.077
2012-03-15 03:00:00,0.096
2012-03-15 04:00:00,0.173
2012-03-15 05:00:00,0.595
2012-03-15 06:00:00,1.122
2012-03-15 07:00:00,1.534
2012-03-15 08:00:00,1.39
2012-03-15 09:00:00,1.16
2012-03-15 10:00:00,1.122
2012-03-15 11:00:00,1.151
2012-03-15 12:00:00,1.189
2012-03-15 13:00:00,1.323
2012-03-15 14:00:00,1.621
2012-03-15 15:00:00,1.85
2012-03-15 16:00:00,1.85
2012-03-15 17:00:00,1.486
2012-03-15 18:00:00,1.151
2012-03-15 19:00:00,0.901
2012-03-15 20:00:00,0.691
2012-03-15 21:00:00,0.527
2012-03-15 22:00:00,0.374
2012-03-15 23:00:00,0.192
2012-05-14 00:00:00,0.183
2012-05-14 01:00:00,0.154
2012-05-14 02:00:00,0.125
2012-05-14 03:00:00,0.125
2012-05-14 04:00:00,0.221
2012-05-14 05:00:00,0.306
2012-05-14 06:00:00,0.412
2012-05-14 07:00:00,0.556
2012-05-14 08:00:00,0.776
2012-05-14 09:00:00,1.036
2012-05-14 10:00:00,1.246
2012-05-14 11:00:00,1.38
2012-05-14 12:00:00,1.457
2012-05-14 13:00:00,1.544
2012-05-14 14:00:00,1.553
2012-05-14 15:00:00,1.573
2012-05-14 16:00:00,1.534
2012-05-14 17:00:00,1.467
2012-05-14 18:00:00,1.304
2012-05-14 19:00:00,1.016
2012-05-14 20:00:00,0.71
2012-05-14 21:00:00,0.441
2012-05-14 22:00:00,0.249
2012-05-14 23:00:00,0.115
2012-05-15 00:00:00,0.086
2012-05-15 01:00:00,0.086
2012-05-15 02:00:00,0.106
2012-05-15 03:00:00,0.202
2012-05-15 04:00:00,0.652
2012-05-15 05:00:00,1.246
2012-05-15 06:00:00,1.706
2012-05-15 07:00:00,1.553
2012-05-15 08:00:00,1.284
2012-05-15 09:00:00,1.246
2012-05-15 10:00:00,1.275
2012-05-15 11:00:00,1.323
2012-05-15 12:00:00,1.467
2012-05-15 13:00:00,1.802
2012-05-15 14:00:00,2.062
2012-05-15 15:00:00,2.062
2012-05-15 16:00:00,1.659
2012-05-15 17:00:00,1.284
2012-05-15 18:00:00,1.007
2012-05-15 19:00:00,0.776
2012-05-15 20:00:00,0.585
2012-05-15 21:00:00,0.422
2012-05-15 22:00:00,0.221
2012-05-15 23:00:00,0.115
2012-05-16 00:00:00,0.086
2012-05-16 01:00:00,0.086
2012-05-16 02:00:00,0.096
2012-05-16 03:00:00,0.192
2012-05-16 04:00:00,0.633
2012-05-16 05:00:00,1.208
2012-05-16 06:00:00,1.659
2012-05-16 07:00:00,1.505
2012-05-16 08:00:00,1.246
2012-05-16 09:00:00,1.208
2012-05-16 10:00:00,1.236
2012-05-16 11:00:00,1.284
2012-05-16 12:00:00,1.428
2012-05-16 13:00:00,1.745
2012-05-16 14:00:00,1.994
2012-05-16 15:00:00,2.004
2012-05-16 16:00:00,1.611
2012-05-16 17:00:00,1.246
2012-05-16 18:00:00,0.978
2012-05-16 19:00:00,0.747
