year,Country,Technology,Installed capacity [GW]
2025,CZ,Biogas plant and engine,0.86
2025,CZ,Biomass straw,0.86
2025,CZ,Biomass wood chips,0.86
2025,CZ,Hard coal,0.74
2025,CZ,Hydro PSH,1.16
2025,CZ,Hydro ROR,1.11
2025,CZ,Lignite,4.89
2025,CZ,Natural gas CCGT,1.31
2025,CZ,Nuclear large,4.06
2025,CZ,PV ground,1.3
2025,CZ,PV roof,1.3
2025,CZ,Wind onshore,0.62
2025,DE,Biogas plant and engine,3.15
2025,DE,Biomass straw,3.15
2025,DE,Biomass wood chips,3.15
2025,DE,DSR,1.25
2025,DE,Hard coal,13.26
2025,DE,Hydro PSH,9.22
2025,DE,Hydro ROR,4.9
2025,DE,Lignite,11.99
2025,DE,Natural gas CCGT,25.43
2025,DE,Natural gas OCGT,3.37
2025,DE,Oil,1.0
2025,DE,PV ground,37.24
2025,DE,PV roof,37.24
2025,DE,Wind offshore,11.08
2025,DE,Wind onshore,63.94
2025,LT,Biogas plant and engine,0.11
2025,LT,Biomass straw,0.11
2025,LT,Biomass wood chips,0.11
2025,LT,DSR,0.01
2025,LT,Hydro PSH,0.92
2025,LT,Hydro ROR,0.03
2025,LT,Natural gas CCGT,0.4
2025,LT,Oil,0.15
2025,LT,PV ground,0.5
2025,LT,PV roof,0.5
2025,LT,Wind onshore,1.6
2025,PL,BEV V2G,0.84
2025,PL,Battery large,0.15
2025,PL,Battery small,0.25
2025,PL,Biogas CHP,0.27
2025,PL,Biogas plant,0.65
2025,PL,Biomass straw CHP,0.36
2025,PL,Biomass wood chips,0.33
2025,PL,Biomass wood chips CHP,0.3
2025,PL,DSR,1.92
2025,PL,Export,5.51
2025,PL,Hard coal,12.01
2025,PL,Hard coal CHP,5.14
2025,PL,Hard coal SC,4.4
2025,PL,Hydro PSH,1.88
2025,PL,Hydro ROR,0.61
2025,PL,Import,5.2
2025,PL,Lignite,5.76
2025,PL,Lignite SC,1.4
2025,PL,Natural gas CCGT,3.14
2025,PL,Natural gas CCGT CHP,3.56
2025,PL,PV ground,8.92
2025,PL,PV roof,13.27
2025,PL,Wind onshore,12.73
2025,SE,Biogas plant and engine,1.51
2025,SE,Biomass straw,1.51
2025,SE,Biomass wood chips,1.51
2025,SE,DSR,1.38
2025,SE,Hydro ROR,16.45
2025,SE,Natural gas CCGT,0.38
2025,SE,Natural gas OCGT,0.11
2025,SE,Nuclear large,6.84
2025,SE,PV ground,1.64
2025,SE,PV roof,1.64
2025,SE,Wind offshore,0.43
2025,SE,Wind onshore,15.59
2025,SK,Biogas plant and engine,0.16
2025,SK,Biomass straw,0.16
2025,SK,Biomass wood chips,0.16
2025,SK,Hydro PSH,0.92
2025,SK,Hydro ROR,1.5
2025,SK,Lignite,0.52
2025,SK,Natural gas CCGT,0.8
2025,SK,Nuclear large,2.67
2025,SK,Oil,0.14
2025,SK,PV ground,0.43
2025,SK,PV roof,0.43
2025,SK,Wind onshore,0.25
