year,Country,Technology,Installed Capacity [GW]
2020,CZ,Battery large,0.0
2020,CZ,Biogas,0.31
2020,CZ,Biomass straw,0.31
2020,CZ,Biomass wood chips,0.31
2020,CZ,Export,3.3
2020,CZ,Hard coal,1.2
2020,CZ,Hydro PSH,1.17
2020,CZ,Hydro ROR,1.09
2020,CZ,Import,3.3
2020,CZ,Lignite,7.93
2020,CZ,Natural gas,1.23
2020,CZ,Nuclear,4.04
2020,CZ,PV,2.05
2020,CZ,Wind onshore,0.34
2020,DE,Battery large,0.0
2020,DE,Biogas,3.96
2020,DE,Biomass straw,3.96
2020,DE,Biomass wood chips,3.96
2020,DE,DSR,0.0
2020,DE,Export,3.0
2020,DE,Hard coal,22.98
2020,DE,Hydro PSH,9.42
2020,DE,Hydro ROR,5.19
2020,DE,Import,3.0
2020,DE,Lignite,20.78
2020,DE,Natural gas,31.83
2020,DE,Nuclear,8.11
2020,DE,Oil,4.28
2020,DE,PV,50.76
2020,DE,Wind offshore,7.64
2020,DE,Wind onshore,53.84
2020,LT,Biogas,0.08
2020,LT,Biomass straw,0.08
2020,LT,Biomass wood chips,0.08
2020,LT,DSR,0.0
2020,LT,Export,0.5
2020,LT,Hydro PSH,0.9
2020,LT,Hydro ROR,0.13
2020,LT,Import,0.5
2020,LT,Natural gas,1.83
2020,LT,Oil,0.0
2020,LT,PV,0.14
2020,LT,Wind onshore,0.54
2020,PL,Battery large,0.02
2020,PL,Battery small,0.0
2020,PL,Biogas,0.26
2020,PL,Biomass straw,0.28
2020,PL,Biomass wood chips,0.64
2020,PL,Coke-oven gas,0.17
2020,PL,DSR,0.87
2020,PL,Export,9.4
2020,PL,Hard coal,24.06
2020,PL,Hydro PSH,1.88
2020,PL,Hydro ROR,0.59
2020,PL,Import,9.4
2020,PL,Lignite,8.49
2020,PL,Natural gas,3.08
2020,PL,PV ground,1.24
2020,PL,PV roof,2.73
2020,PL,Wind onshore,6.89
2020,SE,Biogas,2.8
2020,SE,Biomass straw,2.8
2020,SE,Biomass wood chips,2.8
2020,SE,DSR,0.0
2020,SE,Export,0.6
2020,SE,Hydro ROR,16.32
2020,SE,Import,0.6
2020,SE,Natural gas,0.0
2020,SE,Nuclear,7.29
2020,SE,PV,0.0
2020,SE,Wind offshore,0.0
2020,SE,Wind onshore,9.84
2020,SK,Biogas,0.33
2020,SK,Biomass straw,0.33
2020,SK,Biomass wood chips,0.33
2020,SK,Export,2.0
2020,SK,Hydro PSH,0.92
2020,SK,Hydro ROR,1.63
2020,SK,Import,2.0
2020,SK,Lignite,0.3
2020,SK,Natural gas,1.16
2020,SK,Nuclear,1.97
2020,SK,Oil,0.26
2020,SK,PV,0.53
2020,SK,Wind onshore,0.0
2025,CZ,Battery large,0.27
2025,CZ,Biogas,0.86
2025,CZ,Biomass straw,0.86
2025,CZ,Biomass wood chips,0.86
2025,CZ,Export,3.3
2025,CZ,Hard coal,0.74
2025,CZ,Hydro PSH,1.16
2025,CZ,Hydro ROR,1.11
2025,CZ,Import,3.3
2025,CZ,Lignite,4.89
2025,CZ,Natural gas,1.31
2025,CZ,Nuclear,4.06
2025,CZ,PV,2.6
2025,CZ,Wind onshore,0.62
2025,DE,Battery large,2.83
2025,DE,Biogas,3.15
2025,DE,Biomass straw,3.15
2025,DE,Biomass wood chips,3.15
2025,DE,DSR,1.25
2025,DE,Export,3.0
2025,DE,Hard coal,13.26
2025,DE,Hydro PSH,9.22
2025,DE,Hydro ROR,4.9
2025,DE,Import,3.0
2025,DE,Lignite,11.99
2025,DE,Natural gas,28.8
2025,DE,Nuclear,0.0
2025,DE,Oil,1.0
2025,DE,PV,74.49
2025,DE,Wind offshore,11.08
2025,DE,Wind onshore,63.94
2025,LT,Biogas,0.11
2025,LT,Biomass straw,0.11
2025,LT,Biomass wood chips,0.11
2025,LT,DSR,0.01
2025,LT,Export,0.5
2025,LT,Hydro PSH,0.92
2025,LT,Hydro ROR,0.03
2025,LT,Import,0.5
2025,LT,Natural gas,0.4
2025,LT,Oil,0.15
2025,LT,PV,1.0
2025,LT,Wind onshore,1.6
2025,PL,Battery large,0.15
2025,PL,Battery small,0.3
2025,PL,Biogas,0.3
2025,PL,Biomass straw,0.36
2025,PL,Biomass wood chips,0.64
2025,PL,Coke-oven gas,0.17
2025,PL,DSR,0.96
2025,PL,Export,9.4
2025,PL,Hard coal,21.56
2025,PL,Hydro PSH,1.88
2025,PL,Hydro ROR,0.61
2025,PL,Import,9.4
2025,PL,Lignite,7.16
2025,PL,Natural gas,6.69
2025,PL,PV ground,8.92
2025,PL,PV roof,13.27
2025,PL,Wind onshore,12.73
2025,SE,Biogas,1.51
2025,SE,Biomass straw,1.51
2025,SE,Biomass wood chips,1.51
2025,SE,DSR,1.38
2025,SE,Export,0.6
2025,SE,Hydro ROR,16.45
2025,SE,Import,0.6
2025,SE,Natural gas,0.49
2025,SE,Nuclear,6.84
2025,SE,PV,3.27
2025,SE,Wind offshore,0.43
2025,SE,Wind onshore,15.59
2025,SK,Biogas,0.16
2025,SK,Biomass straw,0.16
2025,SK,Biomass wood chips,0.16
2025,SK,Export,2.0
2025,SK,Hydro PSH,0.92
2025,SK,Hydro ROR,1.5
2025,SK,Import,2.0
2025,SK,Lignite,0.52
2025,SK,Natural gas,0.8
2025,SK,Nuclear,2.67
2025,SK,Oil,0.14
2025,SK,PV,0.86
2025,SK,Wind onshore,0.25
