year,Country,Technology,Electricity Production [TWh]
2020,CZ,Battery large dispatch,0.0
2020,CZ,Battery large store,0.0
2020,CZ,Biogas,0.0
2020,CZ,Biomass straw,0.0
2020,CZ,Biomass wood chips,0.25
2020,CZ,DSR,0.0
2020,CZ,Export,-0.03
2020,CZ,Hard coal,0.0
2020,CZ,Hydro PSH dispatch,0.0
2020,CZ,Hydro PSH store,0.0
2020,CZ,Hydro ROR,1.91
2020,CZ,Import,16.92
2020,CZ,Lignite,0.0
2020,CZ,Natural gas,9.93
2020,CZ,Nuclear,31.85
2020,CZ,PV,2.4
2020,CZ,Wind onshore,0.87
2020,DE,Battery large dispatch,0.0
2020,DE,Battery large store,0.0
2020,DE,Biogas,0.0
2020,DE,Biomass straw,0.0
2020,DE,Biomass wood chips,3.88
2020,DE,DSR,0.0
2020,DE,Export,-22.15
2020,DE,Hard coal,0.0
2020,DE,Hydro PSH dispatch,7.1
2020,DE,Hydro PSH store,-9.47
2020,DE,Hydro ROR,15.91
2020,DE,Import,1.37
2020,DE,Lignite,3.79
2020,DE,Natural gas,216.12
2020,DE,Nuclear,63.94
2020,DE,Oil,0.0
2020,DE,PV,45.85
2020,DE,Wind offshore,34.31
2020,DE,Wind onshore,123.32
2020,LT,Biogas,0.0
2020,LT,Biomass straw,0.0
2020,LT,Biomass wood chips,0.0
2020,LT,DSR,0.0
2020,LT,Export,-4.38
2020,LT,Hydro PSH dispatch,0.05
2020,LT,Hydro PSH store,-0.06
2020,LT,Hydro ROR,0.28
2020,LT,Import,0.0
2020,LT,Natural gas,13.93
2020,LT,Oil,0.0
2020,LT,PV,0.14
2020,LT,Wind onshore,1.85
2020,PL,Battery large dispatch,0.0
2020,PL,Battery large store,-0.0
2020,PL,Battery small dispatch,0.0
2020,PL,Battery small store,0.0
2020,PL,Biogas,1.6
2020,PL,Biomass straw,1.54
2020,PL,Biomass wood chips,3.34
2020,PL,Coke-oven gas,1.24
2020,PL,DSR,0.0
2020,PL,Export,-20.01
2020,PL,Hard coal,55.64
2020,PL,Hydro PSH dispatch,0.21
2020,PL,Hydro PSH store,0.0
2020,PL,Hydro ROR,1.56
2020,PL,Import,35.84
2020,PL,Lignite,31.99
2020,PL,Natural gas,18.63
2020,PL,PV ground,1.31
2020,PL,PV roof,2.91
2020,PL,Wind onshore,16.01
2020,SE,Biogas,0.0
2020,SE,Biomass straw,0.0
2020,SE,Biomass wood chips,0.0
2020,SE,DSR,0.0
2020,SE,Export,-5.26
2020,SE,Hydro ROR,71.48
2020,SE,Natural gas,0.0
2020,SE,Nuclear,40.42
2020,SE,PV,0.0
2020,SE,Wind offshore,0.0
2020,SE,Wind onshore,25.93
2020,SK,Biogas,0.0
2020,SK,Biomass straw,0.0
2020,SK,Biomass wood chips,0.39
2020,SK,DSR,0.0
2020,SK,Export,-4.02
2020,SK,Hydro PSH dispatch,0.0
2020,SK,Hydro PSH store,0.0
2020,SK,Hydro ROR,4.28
2020,SK,Import,1.72
2020,SK,Lignite,0.0
2020,SK,Natural gas,9.37
2020,SK,Nuclear,15.53
2020,SK,Oil,0.0
2020,SK,PV,0.66
2020,SK,Wind onshore,0.0
2025,CZ,Battery large dispatch,0.02
2025,CZ,Battery large store,-0.02
2025,CZ,Biogas,0.24
2025,CZ,Biomass straw,6.65
2025,CZ,Biomass wood chips,6.87
2025,CZ,DSR,0.0
2025,CZ,Export,-1.49
2025,CZ,Hard coal,0.08
2025,CZ,Hydro PSH dispatch,0.0
